Source,Target,Value(KLOE),Value(kKLOE),
煤及煤產品,煤炭的製造與分銷,2733877,2734,
煤及煤產品,電力系統,3281920,3282,
煤炭的製造與分銷,能源部門自用,240321,240,
煤炭的製造與分銷,電網損耗,293371,293,
煤炭的製造與分銷,工業部門,2200185,2200,
煤炭的製造與分銷,非能源消費,0,0,
原油及石油產品,原油及石油的製造與分銷,14648786,14649,
原油及石油產品,電力系統,1170124,1170,
原油及石油的製造與分銷,能源部門自用,2034631,2035,
原油及石油的製造與分銷,工業部門,3736709,3737,
原油及石油的製造與分銷,運輸部門,3897665,3898,
原油及石油的製造與分銷,農業部門,842073,842,
原油及石油的製造與分銷,服務業部門,863798,864,
原油及石油的製造與分銷,住宅部門,12922,13,
原油及石油的製造與分銷,非能源消費,3260988,3261,
天然氣,天然氣的生產與分銷,571788,572,
天然氣,電力系統,0,0,
天然氣的生產與分銷,能源部門自用,55978,56,
天然氣的生產與分銷,工業部門,174035,174,
天然氣的生產與分銷,農業部門,0,0,
天然氣的生產與分銷,服務業部門,73425,73,
天然氣的生產與分銷,住宅部門,0,0,
生質能及廢棄物,生質能的生產與分銷,0,0,
生質能及廢棄物,電力系統,0,0,
生質能的生產與分銷,工業部門,0,0,
生質能的生產與分銷,運輸部門,0,0,
核能,電力系統,7486188,7486,
水力,電力系統,595648,596,
地熱,電力系統,2542,3,
太陽光電,電力系統,0,0,
風力,電力系統,0,0,
電力系統,能源部門自用,461361,461,
電力系統,電網損耗,247247,247,
電力系統,工業部門,2476229,2476,
電力系統,運輸部門,20469,20,
電力系統,農業部門,96732,97,
電力系統,服務業部門,604420,604,
電力系統,住宅部門,15186,15,
電力系統,轉換效率損失,8614778,8615,
    工業部門,        礦業及土石採取業(不含煤、油及氣),94613,95,
工業部門,        食品飲料及菸草業,529152,529,
工業部門,        紡織成衣及服飾業,1175982,1176,
工業部門,        皮革及毛皮業,38237,38,
工業部門,        木竹及家具業,61080,61,
工業部門,        紙漿、紙及紙製品業      ,594413,594,
工業部門,        印刷業,10255,10,
工業部門,        化學材料製造業  ,922301,922,
工業部門,            基本化學材料製造業 ,350726,351,
工業部門,                (基本化學工業),294851,295,
工業部門,                (石油化工原料製造業),36716,37,
工業部門,                (肥料製造業),19158,19,
工業部門,            人造纖維製造業,337638,338,
工業部門,            樹脂塑膠及橡膠製造業,218536,219,
工業部門,            其他化學材料製造業,15401,15,
工業部門,        化學製品製造業,146421,146,
工業部門,        橡膠製品製造業,134612,135,
工業部門,        塑膠製品製造業,827381,827,
工業部門,        非金屬礦物製品製造業,2276495,2276,
工業部門,            水泥及水泥製品業,1380095,1380,
工業部門,            其他,896400,896,
工業部門,                (陶瓷製品製造業),89302,89,
工業部門,                (玻璃及玻璃製品製造業) ,189987,190,
工業部門,        金屬基本工業,978285,978,
工業部門,            鋼鐵基本工業,927157,927,
工業部門,            非鐵金屬基本工業,51128,51,
工業部門,                (鋁業),5709,6,
工業部門,        金屬製品製造業,224460,224,
工業部門,        機械設備製造業,82169,82,
工業部門,        電腦通信及視聽電子產品製造業,193492,193,
工業部門,            (電子零組件製造業),0,0,
工業部門,        運輸工具製造業,70428,70,
工業部門,        精密光學醫療器材及鐘錶製造業,0,0,
工業部門,        其他工業製品製造工業,82394,82,
工業部門,        用水供應及污染整治業,50768,51,
工業部門,        營造業,94220,94,
工業部門,        其他,0,0,
運輸部門,        國內航空,50512,51,
運輸部門,        公路,3628966,3629,
運輸部門,        鐵路,58611,59,
運輸部門,        管線運輸,0,0,
運輸部門,        國內水運 ,180335,180,
運輸部門,        其他,0,0,
農業部門,        農牧及林業,23202,23,
農業部門,        漁業,915624,916,
服務業部門,        批發及零售業,67232,67,
服務業部門,        住宿及餐飲業,170977,171,
服務業部門,        運輸服務業,23380,23,
服務業部門,        倉儲業,40414,40,
服務業部門,        通信業,35061,35,
服務業部門,        金融保險及不動產業,28108,28,
服務業部門,        工商服務業,6148,6,
服務業部門,        社會服務及個人服務業,85731,86,
服務業部門,        公共行政業,778042,778,
服務業部門,        其他 ,366931,367,
住宅部門,   工業、轉變及能源部門,3529338,3529,
住宅部門,   (石化原料用),2084464,2084,
住宅部門,   運輸部門,0,0,
住宅部門,   其他,0,0,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
