Source,Target,Value(KLOE),Value(kKLOE),
煤及煤產品,煤炭的製造與分銷,8193731,8194,
煤及煤產品,電力系統,27117273,27117,
煤炭的製造與分銷,能源部門自用,1199962,1200,
煤炭的製造與分銷,電網損耗,76785,77,
煤炭的製造與分銷,工業部門,6661391,6661,
煤炭的製造與分銷,非能源消費,255593,256,
原油及石油產品,原油及石油的製造與分銷,39934633,39935,
原油及石油產品,電力系統,2796827,2797,
原油及石油的製造與分銷,能源部門自用,2986495,2986,
原油及石油的製造與分銷,工業部門,1852211,1852,
原油及石油的製造與分銷,運輸部門,12331197,12331,
原油及石油的製造與分銷,農業部門,408735,409,
原油及石油的製造與分銷,服務業部門,880640,881,
原油及石油的製造與分銷,住宅部門,4255,4,
原油及石油的製造與分銷,非能源消費,21471102,21471,
天然氣,天然氣的生產與分銷,2903777,2904,
天然氣,電力系統,14586650,14587,
天然氣的生產與分銷,能源部門自用,218716,219,
天然氣的生產與分銷,工業部門,2254119,2254,
天然氣的生產與分銷,農業部門,3407,3,
天然氣的生產與分銷,服務業部門,427220,427,
天然氣的生產與分銷,住宅部門,315,0,
生質能及廢棄物,生質能的生產與分銷,410427,410,
生質能及廢棄物,電力系統,1097692,1098,
生質能的生產與分銷,工業部門,410378,410,
生質能的生產與分銷,運輸部門,0,0,
核能,電力系統,8250951,8251,
水力,電力系統,847591,848,
地熱,電力系統,0,0,
太陽光電,電力系統,95374,95,
風力,電力系統,125311,125,
電力系統,能源部門自用,1626665,1627,
電力系統,電網損耗,746873,747,
電力系統,工業部門,11772541,11773,
電力系統,運輸部門,122477,122,
電力系統,農業部門,251354,251,
電力系統,服務業部門,4122713,4123,
電力系統,住宅部門,85103,85,
電力系統,轉換效率損失,36189945,36190,
工業部門,礦業及土石採取業(不含煤、油及氣),67566,68,
工業部門,食品飲料及菸草業,706328,706,
工業部門,紡織成衣及服飾業,1104579,1105,
工業部門,皮革及毛皮業,35640,36,
工業部門,木竹及家具業,41472,41,
工業部門,紙漿、紙及紙製品業,951758,952,
工業部門,印刷業,57264,57,
工業部門,化學材料製造業,6864461,6864,
工業部門,基本化學材料製造業,4965035,4965,
工業部門,(基本化學工業),517076,517,
工業部門,(石油化工原料製造業),4298180,4298,
工業部門,(肥料製造業),0,0,
工業部門,人造纖維製造業,1297021,1297,
工業部門,樹脂塑膠及橡膠製造業,450817,451,
工業部門,其他化學材料製造業,151588,152,
工業部門,化學製品製造業,430805,431,
工業部門,橡膠製品製造業,194158,194,
工業部門,塑膠製品製造業,641621,642,
工業部門,非金屬礦物製品製造業,2193016,2193,
工業部門,水泥及水泥製品業,1204087,1204,
工業部門,其他,988929,989,
工業部門,(陶瓷製品製造業),101879,102,
工業部門,(玻璃及玻璃製品製造業),272041,272,
工業部門,金屬基本工業,3971826,3972,
工業部門,鋼鐵基本工業,3760284,3760,
工業部門,非鐵金屬基本工業,211542,212,
工業部門,(鋁業),117395,117,
工業部門,金屬製品製造業,804749,805,
工業部門,機械設備製造業,203151,203,
工業部門,電腦通信及視聽電子產品製造業,4517922,4518,
工業部門,(電子零組件製造業),2937524,2938,
工業部門,運輸工具製造業,275258,275,
工業部門,精密光學醫療器材及鐘錶製造業,138685,139,
工業部門,其他工業製品製造工業,279257,279,
工業部門,用水供應及污染整治業,468670,469,
工業部門,營造業,102720,103,
工業部門,其他,90744,91,
運輸部門,國內航空,95857,96,
運輸部門,公路,12056838,12057,
運輸部門,鐵路,135510,136,
運輸部門,管線運輸,3336,3,
運輸部門,國內水運,162134,162,
運輸部門,其他,0,0,
農業部門,農牧及林業,242077,242,
農業部門,漁業,421419,421,
服務業部門,批發及零售業,453454,453,
服務業部門,住宿及餐飲業,1042909,1043,
服務業部門,運輸服務業,132168,132,
服務業部門,倉儲業,82378,82,
服務業部門,通信業,128210,128,
服務業部門,金融保險及不動產業,89673,90,
服務業部門,工商服務業,132078,132,
服務業部門,社會服務及個人服務業,771286,771,
服務業部門,公共行政業,795323,795,
服務業部門,其他,1806119,1806,
住宅部門,工業、轉變及能源部門,21726695,21727,
住宅部門,(石化原料用),19392585,19393,
住宅部門,運輸,0,0,
住宅部門,其他,0,0,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
