Source,Target,Value(KLOE),Value(kKLOE),
煤及煤產品,煤炭的製造與分銷,3977633,3978,
煤及煤產品,電力系統,5398583,5399,
煤炭的製造與分銷,能源部門自用,527071,527,
煤炭的製造與分銷,電網損耗,19925,20,
煤炭的製造與分銷,工業部門,3291152,3291,
煤炭的製造與分銷,非能源消費,139485,139,
原油及石油產品,原油及石油的製造與分銷,19454516,19455,
原油及石油產品,電力系統,4956681,4957,
原油及石油的製造與分銷,能源部門自用,1679517,1680,
原油及石油的製造與分銷,工業部門,5018555,5019,
原油及石油的製造與分銷,運輸部門,6594712,6595,
原油及石油的製造與分銷,農業部門,942541,943,
原油及石油的製造與分銷,服務業部門,1103080,1103,
原油及石油的製造與分銷,住宅部門,10236,10,
原油及石油的製造與分銷,非能源消費,4105876,4106,
天然氣,天然氣的生產與分銷,780807,781,
天然氣,電力系統,257187,257,
天然氣的生產與分銷,能源部門自用,338038,338,
天然氣的生產與分銷,工業部門,191886,192,
天然氣的生產與分銷,農業部門,0,0,
天然氣的生產與分銷,服務業部門,90530,91,
天然氣的生產與分銷,住宅部門,0,0,
生質能及廢棄物,生質能的生產與分銷,0,0,
生質能及廢棄物,電力系統,44987,45,
生質能的生產與分銷,工業部門,0,0,
生質能的生產與分銷,運輸部門,0,0,
核能,電力系統,8564867,8565,
水力,電力系統,704167,704,
地熱,電力系統,2408,2,
太陽光電,電力系統,0,0,
風力,電力系統,0,0,
電力系統,能源部門自用,704439,704,
電力系統,電網損耗,458797,459,
電力系統,工業部門,3799666,3800,
電力系統,運輸部門,17468,17,
電力系統,農業部門,138504,139,
電力系統,服務業部門,1225982,1226,
電力系統,住宅部門,33551,34,
電力系統,轉換效率損失,13550473,13550,
工業部門,礦業及土石採取業(不含煤、油及氣),51212,51,
工業部門,食品飲料及菸草業,691211,691,
工業部門,紡織成衣及服飾業,1457235,1457,
工業部門,皮革及毛皮業,35901,36,
工業部門,木竹及家具業,64157,64,
工業部門,紙漿、紙及紙製品業,880250,880,
工業部門,印刷業,21537,22,
工業部門,化學材料製造業,2395112,2395,
工業部門,基本化學材料製造業,1365464,1365,
工業部門,(基本化學工業),1219638,1220,
工業部門,(石油化工原料製造業),122642,123,
工業部門,(肥料製造業),23185,23,
工業部門,人造纖維製造業,547442,547,
工業部門,樹脂塑膠及橡膠製造業,477529,478,
工業部門,其他化學材料製造業,4677,5,
工業部門,化學製品製造業,228831,229,
工業部門,橡膠製品製造業,152647,153,
工業部門,塑膠製品製造業,392146,392,
工業部門,非金屬礦物製品製造業,2834423,2834,
工業部門,水泥及水泥製品業,1749393,1749,
工業部門,其他,1085030,1085,
工業部門,(陶瓷製品製造業),138152,138,
工業部門,(玻璃及玻璃製品製造業),286373,286,
工業部門,金屬基本工業,1727617,1728,
工業部門,鋼鐵基本工業,1651019,1651,
工業部門,非鐵金屬基本工業,76598,77,
工業部門,(鋁業),7122,7,
工業部門,金屬製品製造業,299317,299,
工業部門,機械設備製造業,115617,116,
工業部門,電腦通信及視聽電子產品製造業,392847,393,
工業部門,(電子零組件製造業),0,0,
工業部門,運輸工具製造業,139339,139,
工業部門,精密光學醫療器材及鐘錶製造業,0,0,
工業部門,其他工業製品製造工業,199729,200,
工業部門,用水供應及污染整治業,65195,65,
工業部門,營造業,156934,157,
工業部門,其他,0,0,
運輸部門,國內航空,93650,94,
運輸部門,公路,6242530,6243,
運輸部門,鐵路,59270,59,
運輸部門,管線運輸,0,0,
運輸部門,國內水運,216729,217,
運輸部門,其他,0,0,
農業部門,農牧及林業,22482,22,
農業部門,漁業,1058563,1059,
服務業部門,批發及零售業,148740,149,
服務業部門,住宿及餐飲業,258998,259,
服務業部門,運輸服務業,29040,29,
服務業部門,倉儲業,26790,27,
服務業部門,通信業,50478,50,
服務業部門,金融保險及不動產業,43787,44,
服務業部門,工商服務業,13569,14,
服務業部門,社會服務及個人服務業,190141,190,
服務業部門,公共行政業,970760,971,
服務業部門,其他,693520,694,
住宅部門,工業、轉變及能源部門,4405713,4406,
住宅部門,(石化原料用),2067854,2068,
住宅部門,運輸,0,0,
住宅部門,其他,0,0,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
