Source,Target,Value(KLOE),Value(kKLOE),
煤及煤產品,煤炭的製造與分銷,6261040,6261,
煤及煤產品,電力系統,18200886,18201,
煤炭的製造與分銷,能源部門自用,822413,822,
煤炭的製造與分銷,電網損耗,7762,8,
煤炭的製造與分銷,工業部門,5198082,5198,
煤炭的製造與分銷,非能源消費,232782,233,
原油及石油產品,原油及石油的製造與分銷,29753429,29753,
原油及石油產品,電力系統,6675568,6676,
原油及石油的製造與分銷,能源部門自用,2149914,2150,
原油及石油的製造與分銷,工業部門,6562764,6563,
原油及石油的製造與分銷,運輸部門,11182685,11183,
原油及石油的製造與分銷,農業部門,759874,760,
原油及石油的製造與分銷,服務業部門,895979,896,
原油及石油的製造與分銷,住宅部門,6471,6,
原油及石油的製造與分銷,非能源消費,8195742,8196,
天然氣,天然氣的生產與分銷,1550452,1550,
天然氣,電力系統,3380805,3381,
天然氣的生產與分銷,能源部門自用,601507,602,
天然氣的生產與分銷,工業部門,736877,737,
天然氣的生產與分銷,農業部門,0,0,
天然氣的生產與分銷,服務業部門,179647,180,
天然氣的生產與分銷,住宅部門,0,0,
生質能及廢棄物,生質能的生產與分銷,264219,264,
生質能及廢棄物,電力系統,584977,585,
生質能的生產與分銷,工業部門,264219,264,
生質能的生產與分銷,運輸部門,0,0,
核能,電力系統,10033827,10034,
水力,電力系統,762832,763,
地熱,電力系統,0,0,
太陽光電,電力系統,10,0,
風力,電力系統,119,0,
電力系統,能源部門自用,1416959,1417,
電力系統,電網損耗,710074,710,
電力系統,工業部門,7556517,7557,
電力系統,運輸部門,39159,39,
電力系統,農業部門,194539,195,
電力系統,服務業部門,3001393,3001,
電力系統,住宅部門,87585,88,
電力系統,轉換效率損失,26632798,26633,
工業部門,礦業及土石採取業(不含煤、油及氣),67257,67,
工業部門,食品飲料及菸草業,737793,738,
工業部門,紡織成衣及服飾業,2261526,2262,
工業部門,皮革及毛皮業,73620,74,
工業部門,木竹及家具業,55270,55,
工業部門,紙漿、紙及紙製品業,1204864,1205,
工業部門,印刷業,40013,40,
工業部門,化學材料製造業,5308810,5309,
工業部門,基本化學材料製造業,3517192,3517,
工業部門,(基本化學工業),1159620,1160,
工業部門,(石油化工原料製造業),2225913,2226,
工業部門,(肥料製造業),0,0,
工業部門,人造纖維製造業,1106718,1107,
工業部門,樹脂塑膠及橡膠製造業,656013,656,
工業部門,其他化學材料製造業,28888,29,
工業部門,化學製品製造業,414612,415,
工業部門,橡膠製品製造業,124896,125,
工業部門,塑膠製品製造業,641341,641,
工業部門,非金屬礦物製品製造業,2505049,2505,
工業部門,水泥及水泥製品業,1698926,1699,
工業部門,其他,806122,806,
工業部門,(陶瓷製品製造業),133602,134,
工業部門,(玻璃及玻璃製品製造業),132417,132,
工業部門,金屬基本工業,3549888,3550,
工業部門,鋼鐵基本工業,3354000,3354,
工業部門,非鐵金屬基本工業,195888,196,
工業部門,(鋁業),56766,57,
工業部門,金屬製品製造業,522756,523,
工業部門,機械設備製造業,145505,146,
工業部門,電腦通信及視聽電子產品製造業,1643562,1644,
工業部門,(電子零組件製造業),780966,781,
工業部門,運輸工具製造業,234024,234,
工業部門,精密光學醫療器材及鐘錶製造業,23964,24,
工業部門,其他工業製品製造工業,241019,241,
工業部門,用水供應及污染整治業,316638,317,
工業部門,營造業,207075,207,
工業部門,其他,0,0,
運輸部門,國內航空,301679,302,
運輸部門,公路,10455644,10456,
運輸部門,鐵路,78737,79,
運輸部門,管線運輸,0,0,
運輸部門,國內水運,385783,386,
運輸部門,其他,0,0,
農業部門,農牧及林業,108194,108,
農業部門,漁業,846220,846,
服務業部門,批發及零售業,414325,414,
服務業部門,住宿及餐飲業,607242,607,
服務業部門,運輸服務業,69107,69,
服務業部門,倉儲業,57784,58,
服務業部門,通信業,99856,100,
服務業部門,金融保險及不動產業,94055,94,
服務業部門,工商服務業,41938,42,
服務業部門,社會服務及個人服務業,503394,503,
服務業部門,公共行政業,799752,800,
服務業部門,其他,1392089,1392,
住宅部門,工業、轉變及能源部門,8460945,8461,
住宅部門,(石化原料用),4932183,4932,
住宅部門,運輸,0,0,
住宅部門,其他,0,0,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
