Source,Target,Value(KLOE),Value(kKLOE),
煤及煤產品,煤炭的製造與分銷,5303086,5303,
煤及煤產品,電力系統,26631359,26631,
煤炭的製造與分銷,能源部門自用,994365,994,
煤炭的製造與分銷,電網損耗,76049,76,
煤炭的製造與分銷,工業部門,4092269,4092,
煤炭的製造與分銷,非能源消費,140403,140,
原油及石油產品,原油及石油的製造與分銷,34160685,34161,
原油及石油產品,電力系統,994129,994,
原油及石油的製造與分銷,能源部門自用,2583597,2584,
原油及石油的製造與分銷,工業部門,831916,832,
原油及石油的製造與分銷,運輸部門,11647002,11647,
原油及石油的製造與分銷,農業部門,490462,490,
原油及石油的製造與分銷,服務業部門,992025,992,
原油及石油的製造與分銷,住宅部門,890303,890,
原油及石油的製造與分銷,非能源消費,16725381,16725,
天然氣,天然氣的生產與分銷,5343123,5343,
天然氣,電力系統,18566321,18566,
天然氣的生產與分銷,能源部門自用,562366,562,
天然氣的生產與分銷,工業部門,3618483,3618,
天然氣的生產與分銷,農業部門,3822,4,
天然氣的生產與分銷,服務業部門,412526,413,
天然氣的生產與分銷,住宅部門,745927,746,
生質能及廢棄物,生質能的生產與分銷,308112,308,
生質能及廢棄物,電力系統,1244382,1244,
生質能的生產與分銷,工業部門,308101,308,
生質能的生產與分銷,運輸部門,12,0,
核能,電力系統,4639189,4639,
水力,電力系統,603217,603,
地熱,電力系統,19921,20,
太陽光電,電力系統,1110237,1110,
風力,電力系統,536493,536,
電力系統,能源部門自用,1586185,1586,
電力系統,電網損耗,679973,680,
電力系統,工業部門,13108891,13109,
電力系統,運輸部門,159639,160,
電力系統,農業部門,281824,282,
電力系統,服務業部門,4153793,4154,
電力系統,住宅部門,4427977,4428,
電力系統,轉換效率損失,29946965,29947,
工業部門,砂、石採取及其他礦業(不含煤、油、氣),28672,29,
工業部門,食品飲料及菸草製造業,811345,811,
工業部門,紡織成衣及服飾品製造業,767629,768,
工業部門,皮革、毛皮及其製品製造業,20684,21,
工業部門,木竹製品及家具製造業,36467,36,
工業部門,紙漿、紙及紙製品製造業,848729,849,
工業部門,印刷及資料儲存媒體複製業,51949,52,
工業部門,化學材料及肥料製造業,6182249,6182,
工業部門,化學原材料製造業,4950667,4951,
工業部門,(基本化學工業),1059090,1059,
工業部門,(石油化工原料製造業),3891578,3892,
工業部門,肥料及氮化合物製造業,19512,20,
工業部門,人造纖維製造業,563035,563,
工業部門,塑膠及合成橡膠原料製造業,540148,540,
工業部門,其他化學材料及肥料製造業,108886,109,
工業部門,化學製品及醫藥用品製造業,271701,272,
工業部門,橡膠製品製造業,137879,138,
工業部門,塑膠製品製造業,696610,697,
工業部門,非金屬礦物製品製造業,1653845,1654,
工業部門,水泥及其製品製造業,940403,940,
工業部門,其他,713442,713,
工業部門,(耐火、黏土建材及其他陶瓷製品製造業),178271,178,
工業部門,(玻璃及其製品製造業),411596,412,
工業部門,基本金屬製造業,3914276,3914,
工業部門,鋼鐵製造業,3570738,3571,
工業部門,非鐵金屬製造業,343538,344,
工業部門,(鋁製造業),141976,142,
工業部門,金屬製品製造業,710035,710,
工業部門,機械設備製造及維修業,242754,243,
工業部門,電子產品及電力設備製造業,5849569,5850,
工業部門,(電子零組件製造業),5440122,5440,
工業部門,運輸工具及其零件製造業,275631,276,
工業部門,精密光學醫學設備及鐘錶製造業,100218,100,
工業部門,其他製造業,277968,278,
工業部門,用水供應及污染整治業,495324,495,
住宅部門,營建工程業,116058,116,
工業部門,其他,2987,3,
運輸部門,國內航空,70411,70,
運輸部門,公路,11506504,11507,
運輸部門,鐵路,141950,142,
運輸部門,管線運輸,2349,2,
運輸部門,國內水運,85438,85,
運輸部門,其他,0,0,
農業部門,農牧及林業,263900,264,
農業部門,漁業,512207,512,
服務業部門,批發及零售業,1211466,1211,
服務業部門,運輸及倉儲業,322534,323,
服務業部門,運輸服務業,198098,198,
服務業部門,倉儲業,110818,111,
服務業部門,郵政及遞送服務業,13618,14,
服務業部門,住宿及餐飲業,1157221,1157,
服務業部門,出版影音及資通訊業,342313,342,
服務業部門,(電信業),218508,219,
服務業部門,金融及保險業,131419,131,
服務業部門,不動產業,62210,62,
服務業部門,專業、科學及技術服務業,106870,107,
服務業部門,支援服務業,67674,68,
服務業部門,公共行政及國防,822743,823,
服務業部門,教育業,303364,303,
服務業部門,醫療保健及社會工作服務業,338325,338,
服務業部門,藝術、娛樂及休閒服務業,139840,140,
服務業部門,其他,552365,552,
住宅部門,非能源消費,16865784,16866,
住宅部門,工業、轉變及能源部門,16865784,16866,
住宅部門,(石化原料用),6064208,6064,
住宅部門,運輸,0,0,
住宅部門,其他,0,0,

,,,,
