Source,Target,Value(KLOE),Value(kKLOE),
煤及煤產品,煤炭的製造與分銷,5980357,5980,
煤及煤產品,電力系統,27057299,27057,
煤炭的製造與分銷,能源部門自用,1071983,1072,
煤炭的製造與分銷,電網損耗,93241,93,
煤炭的製造與分銷,工業部門,4568432,4568,
煤炭的製造與分銷,非能源消費,246700,247,
原油及石油產品,原油及石油的製造與分銷,36984972,36985,
原油及石油產品,電力系統,1162315,1162,
原油及石油的製造與分銷,能源部門自用,2812343,2812,
原油及石油的製造與分銷,工業部門,969688,970,
原油及石油的製造與分銷,運輸部門,11669888,11670,
原油及石油的製造與分銷,農業部門,437735,438,
原油及石油的製造與分銷,服務業部門,945270,945,
原油及石油的製造與分銷,住宅部門,929619,930,
原油及石油的製造與分銷,非能源消費,19220428,19220,
天然氣,天然氣的生產與分銷,4526674,4527,
天然氣,電力系統,18962103,18962,
天然氣的生產與分銷,能源部門自用,521674,522,
天然氣的生產與分銷,工業部門,3578032,3578,
天然氣的生產與分銷,農業部門,3932,4,
天然氣的生產與分銷,服務業部門,395829,396,
天然氣的生產與分銷,住宅部門,27207,27,
生質能及廢棄物,生質能的生產與分銷,425659,426,
生質能及廢棄物,電力系統,1108053,1108,
生質能的生產與分銷,工業部門,425657,426,
生質能的生產與分銷,運輸部門,2,0,
核能,電力系統,6190507,6191,
水力,電力系統,765288,765,
地熱,電力系統,21507,22,
太陽光電,電力系統,918078,918,
風力,電力系統,307663,308,
電力系統,能源部門自用,1631267,1631,
電力系統,電網損耗,826882,827,
電力系統,工業部門,13496825,13497,
電力系統,運輸部門,142585,143,
電力系統,農業部門,280585,281,
電力系統,服務業部門,4077469,4077,
電力系統,住宅部門,4367717,4368,
電力系統,轉換效率損失,31669482,31669,
工業部門,砂、石採取及其他礦業(不含煤、油、氣),30155,30,
工業部門,食品飲料及菸草製造業,784807,785,
工業部門,紡織成衣及服飾品製造業,914543,915,
工業部門,皮革、毛皮及其製品製造業,25373,25,
工業部門,木竹製品及家具製造業,38773,39,
工業部門,紙漿、紙及紙製品製造業,1012085,1012,
工業部門,印刷及資料儲存媒體複製業,53375,53,
工業部門,化學材料及肥料製造業,6615863,6616,
工業部門,化學原材料製造業,5259964,5260,
工業部門,(基本化學工業),1115237,1115,
工業部門,(石油化工原料製造業),4144727,4145,
工業部門,肥料及氮化合物製造業,19481,19,
工業部門,人造纖維製造業,556997,557,
工業部門,塑膠及合成橡膠原料製造業,614503,615,
工業部門,其他化學材料及肥料製造業,164918,165,
工業部門,化學製品及醫藥用品製造業,264063,264,
工業部門,橡膠製品製造業,159329,159,
工業部門,塑膠製品製造業,732046,732,
工業部門,非金屬礦物製品製造業,1826575,1827,
工業部門,水泥及其製品製造業,1071215,1071,
工業部門,其他,755359,755,
工業部門,(耐火、黏土建材及其他陶瓷製品製造業),182150,182,
工業部門,(玻璃及其製品製造業),436093,436,
工業部門,基本金屬製造業,4088002,4088,
工業部門,鋼鐵製造業,3773378,3773,
工業部門,非鐵金屬製造業,314624,315,
工業部門,(鋁製造業),165863,166,
工業部門,金屬製品製造業,833425,833,
工業部門,機械設備製造及維修業,265052,265,
工業部門,電子產品及電力設備製造業,5737723,5738,
工業部門,(電子零組件製造業),5257807,5258,
工業部門,運輸工具及其零件製造業,299955,300,
工業部門,精密光學醫學設備及鐘錶製造業,99828,100,
工業部門,其他製造業,286073,286,
工業部門,用水供應及污染整治業,494274,494,
住宅部門,營建工程業,113761,114,
工業部門,其他,3365,3,
運輸部門,國內航空,68735,69,
運輸部門,公路,11499377,11499,
運輸部門,鐵路,136073,136,
運輸部門,管線運輸,2225,2,
運輸部門,國內水運,106065,106,
運輸部門,其他,0,0,
農業部門,農牧及林業,264873,265,
農業部門,漁業,457379,457,
服務業部門,批發及零售業,1183621,1184,
服務業部門,運輸及倉儲業,330647,331,
服務業部門,運輸服務業,206224,206,
服務業部門,倉儲業,110727,111,
服務業部門,郵政及遞送服務業,13696,14,
服務業部門,住宿及餐飲業,1116360,1116,
服務業部門,出版影音及資通訊業,340649,341,
服務業部門,(電信業),220368,220,
服務業部門,金融及保險業,127252,127,
服務業部門,不動產業,63726,64,
服務業部門,專業、科學及技術服務業,109148,109,
服務業部門,支援服務業,70456,70,
服務業部門,公共行政及國防,757453,757,
服務業部門,教育業,291738,292,
服務業部門,醫療保健及社會工作服務業,332213,332,
服務業部門,藝術、娛樂及休閒服務業,136134,136,
服務業部門,其他,559268,559,
住宅部門,非能源消費,19467128,19467,
住宅部門,非能源消費,19467128,19467,
住宅部門,非能源消費,19467128,19467,
住宅部門,運輸,0,0,
住宅部門,其他,0,0,
,,,,
