Source,Target,Value(KLOE),Value(kKLOE),
煤及煤產品,煤炭的製造與分銷,4725550,4726,
煤及煤產品,電力系統,8575768,8576,
煤炭的製造與分銷,能源部門自用,542170,542,
煤炭的製造與分銷,電網損耗,5667,6,
煤炭的製造與分銷,工業部門,3881157,3881,
煤炭的製造與分銷,非能源消費,296557,297,
原油及石油產品,原油及石油的製造與分銷,22103688,22104,
原油及石油產品,電力系統,5706511,5707,
原油及石油的製造與分銷,能源部門自用,1363827,1364,
原油及石油的製造與分銷,工業部門,5482867,5483,
原油及石油的製造與分銷,運輸部門,8764435,8764,
原油及石油的製造與分銷,農業部門,856893,857,
原油及石油的製造與分銷,服務業部門,698172,698,
原油及石油的製造與分銷,住宅部門,2327,2,
原油及石油的製造與分銷,非能源消費,4935168,4935,
天然氣,天然氣的生產與分銷,1425420,1425,
天然氣,電力系統,559889,560,
天然氣的生產與分銷,能源部門自用,658212,658,
天然氣的生產與分銷,工業部門,371302,371,
天然氣的生產與分銷,農業部門,0,0,
天然氣的生產與分銷,服務業部門,127231,127,
天然氣的生產與分銷,住宅部門,0,0,
生質能及廢棄物,生質能的生產與分銷,5470,5,
生質能及廢棄物,電力系統,68225,68,
生質能的生產與分銷,工業部門,5470,5,
生質能的生產與分銷,運輸部門,0,0,
核能,電力系統,8952693,8953,
水力,電力系統,577820,578,
地熱,電力系統,1204,1,
太陽光電,電力系統,0,0,
風力,電力系統,0,0,
電力系統,能源部門自用,905642,906,
電力系統,電網損耗,502253,502,
電力系統,工業部門,4645450,4645,
電力系統,運輸部門,20374,20,
電力系統,農業部門,160861,161,
電力系統,服務業部門,1793319,1793,
電力系統,住宅部門,47500,47,
電力系統,轉換效率損失,16366710,16367,
    工業部門,        礦業及土石採取業(不含煤、油及氣),47494,47,
工業部門,        食品飲料及菸草業,692728,693,
工業部門,        紡織成衣及服飾業,1652861,1653,
工業部門,        皮革及毛皮業,41039,41,
工業部門,        木竹及家具業,60748,61,
工業部門,        紙漿、紙及紙製品業      ,934233,934,
工業部門,        印刷業,30902,31,
工業部門,        化學材料製造業  ,2978470,2978,
工業部門,            基本化學材料製造業 ,1528991,1529,
工業部門,                (基本化學工業),1164154,1164,
工業部門,                (石油化工原料製造業),341907,342,
工業部門,                (肥料製造業),22930,23,
工業部門,            人造纖維製造業,767228,767,
工業部門,            樹脂塑膠及橡膠製造業,682197,682,
工業部門,            其他化學材料製造業,53,0,
工業部門,        化學製品製造業,294220,294,
工業部門,        橡膠製品製造業,159227,159,
工業部門,        塑膠製品製造業,428826,429,
工業部門,        非金屬礦物製品製造業,3039132,3039,
工業部門,            水泥及水泥製品業,2037010,2037,
工業部門,            其他,1002121,1002,
工業部門,                (陶瓷製品製造業),215664,216,
工業部門,                (玻璃及玻璃製品製造業) ,274943,275,
工業部門,        金屬基本工業,2367438,2367,
工業部門,            鋼鐵基本工業,2270257,2270,
工業部門,            非鐵金屬基本工業,97181,97,
工業部門,                (鋁業),11029,11,
工業部門,        金屬製品製造業,374933,375,
工業部門,        機械設備製造業,129550,130,
工業部門,        電腦通信及視聽電子產品製造業,462705,463,
工業部門,            (電子零組件製造業),0,0,
工業部門,        運輸工具製造業,160427,160,
工業部門,        精密光學醫療器材及鐘錶製造業,0,0,
工業部門,        其他工業製品製造工業,256210,256,
工業部門,        用水供應及污染整治業,82219,82,
工業部門,        營造業,192883,193,
工業部門,        其他,0,0,
運輸部門,        國內航空,176157,176,
運輸部門,        公路,8254863,8255,
運輸部門,        鐵路,66899,67,
運輸部門,        管線運輸,0,0,
運輸部門,        國內水運 ,286890,287,
運輸部門,        其他,0,0,
農業部門,        農牧及林業,32287,32,
農業部門,        漁業,985468,985,
服務業部門,        批發及零售業,210726,211,
服務業部門,        住宿及餐飲業,330874,331,
服務業部門,        運輸服務業,29350,29,
服務業部門,        倉儲業,30913,31,
服務業部門,        通信業,56422,56,
服務業部門,        金融保險及不動產業,49826,50,
服務業部門,        工商服務業,19207,19,
服務業部門,        社會服務及個人服務業,269445,269,
服務業部門,        公共行政業,686115,686,
服務業部門,        其他 ,939016,939,
住宅部門,   工業、轉變及能源部門,5500400,5500,
住宅部門,   (石化原料用),2457249,2457,
住宅部門,運輸,0,0,
住宅部門,   其他,0,0,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
