Source,Target,Value(KLOE),Value(kKLOE),
煤及煤產品,煤炭的製造與分銷,4773578,4774,
煤及煤產品,電力系統,9211202,9211,
煤炭的製造與分銷,能源部門自用,556913,557,
煤炭的製造與分銷,電網損耗,3653,4,
煤炭的製造與分銷,工業部門,3921839,3922,
煤炭的製造與分銷,非能源消費,291173,291,
原油及石油產品,原油及石油的製造與分銷,23712656,23713,
原油及石油產品,電力系統,5739909,5740,
原油及石油的製造與分銷,能源部門自用,1585450,1585,
原油及石油的製造與分銷,工業部門,5724287,5724,
原油及石油的製造與分銷,運輸部門,9254022,9254,
原油及石油的製造與分銷,農業部門,872732,873,
原油及石油的製造與分銷,服務業部門,865679,866,
原油及石油的製造與分銷,住宅部門,2088,2,
原油及石油的製造與分銷,非能源消費,5408399,5408,
天然氣,天然氣的生產與分銷,1560689,1561,
天然氣,電力系統,1168758,1169,
天然氣的生產與分銷,能源部門自用,736132,736,
天然氣的生產與分銷,工業部門,439362,439,
天然氣的生產與分銷,農業部門,0,0,
天然氣的生產與分銷,服務業部門,137910,138,
天然氣的生產與分銷,住宅部門,0,0,
生質能及廢棄物,生質能的生產與分銷,13967,14,
生質能及廢棄物,電力系統,99029,99,
生質能的生產與分銷,工業部門,13967,14,
生質能的生產與分銷,運輸部門,0,0,
核能,電力系統,9087264,9087,
水力,電力系統,764249,764,
地熱,電力系統,11,0,
太陽光電,電力系統,0,0,
風力,電力系統,0,0,
電力系統,能源部門自用,1065957,1066,
電力系統,電網損耗,566091,566,
電力系統,工業部門,4924525,4925,
電力系統,運輸部門,19763,20,
電力系統,農業部門,163904,164,
電力系統,服務業部門,1988381,1988,
電力系統,住宅部門,52465,52,
電力系統,轉換效率損失,17289336,17289,
工業部門,礦業及土石採取業(不含煤、油及氣),46775,47,
工業部門,食品飲料及菸草業,695281,695,
工業部門,紡織成衣及服飾業,1733644,1734,
工業部門,皮革及毛皮業,46294,46,
工業部門,木竹及家具業,61039,61,
工業部門,紙漿、紙及紙製品業,980377,980,
工業部門,印刷業,33433,33,
工業部門,化學材料製造業,3234628,3235,
工業部門,基本化學材料製造業,1684662,1685,
工業部門,(基本化學工業),1214630,1215,
工業部門,(石油化工原料製造業),448182,448,
工業部門,(肥料製造業),21849,22,
工業部門,人造纖維製造業,812719,813,
工業部門,樹脂塑膠及橡膠製造業,735147,735,
工業部門,其他化學材料製造業,2101,2,
工業部門,化學製品製造業,307409,307,
工業部門,橡膠製品製造業,149644,150,
工業部門,塑膠製品製造業,448777,449,
工業部門,非金屬礦物製品製造業,3108193,3108,
工業部門,水泥及水泥製品業,2018009,2018,
工業部門,其他,1090184,1090,
工業部門,(陶瓷製品製造業),223139,223,
工業部門,(玻璃及玻璃製品製造業),103824,104,
工業部門,金屬基本工業,2419453,2419,
工業部門,鋼鐵基本工業,2312052,2312,
工業部門,非鐵金屬基本工業,107401,107,
工業部門,(鋁業),12357,12,
工業部門,金屬製品製造業,413858,414,
工業部門,機械設備製造業,135085,135,
工業部門,電腦通信及視聽電子產品製造業,506341,506,
工業部門,(電子零組件製造業),0,0,
工業部門,運輸工具製造業,168539,169,
工業部門,精密光學醫療器材及鐘錶製造業,0,0,
工業部門,其他工業製品製造工業,231794,232,
工業部門,用水供應及污染整治業,96525,97,
工業部門,營造業,206889,207,
工業部門,其他,0,0,
運輸部門,國內航空,214018,214,
運輸部門,公路,8715295,8715,
運輸部門,鐵路,64845,65,
運輸部門,管線運輸,0,0,
運輸部門,國內水運,279627,280,
運輸部門,其他,0,0,
農業部門,農牧及林業,31960,32,
農業部門,漁業,1004675,1005,
服務業部門,批發及零售業,232824,233,
服務業部門,住宿及餐飲業,349876,350,
服務業部門,運輸服務業,30730,31,
服務業部門,倉儲業,33348,33,
服務業部門,通信業,59431,59,
服務業部門,金融保險及不動產業,54553,55,
服務業部門,工商服務業,21204,21,
服務業部門,社會服務及個人服務業,297989,298,
服務業部門,公共行政業,881342,881,
服務業部門,其他,1032142,1032,
住宅部門,工業、轉變及能源部門,5946857,5947,
住宅部門,(石化原料用),3574333,3574,
住宅部門,運輸部門,0,0,
住宅部門,其他,0,0,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
