Source,Target,Value(KLOE),Value(kKLOE),
煤及煤產品,煤炭的製造與分銷,#REF!,#REF!,
煤及煤產品,電力系統,#REF!,#REF!,
煤炭的製造與分銷,能源部門自用,#REF!,#REF!,
煤炭的製造與分銷,電網損耗,#REF!,#REF!,
煤炭的製造與分銷,工業部門,#REF!,#REF!,
煤炭的製造與分銷,非能源消費,#REF!,#REF!,
原油及石油產品,原油及石油的製造與分銷,#REF!,#REF!,
原油及石油產品,電力系統,#REF!,#REF!,
原油及石油的製造與分銷,能源部門自用,#REF!,#REF!,
原油及石油的製造與分銷,工業部門,#REF!,#REF!,
原油及石油的製造與分銷,運輸部門,#REF!,#REF!,
原油及石油的製造與分銷,農業部門,#REF!,#REF!,
原油及石油的製造與分銷,服務業部門,#REF!,#REF!,
原油及石油的製造與分銷,住宅部門,#REF!,#REF!,
原油及石油的製造與分銷,非能源消費,#REF!,#REF!,
天然氣,天然氣的生產與分銷,#REF!,#REF!,
天然氣,電力系統,#REF!,#REF!,
天然氣的生產與分銷,能源部門自用,#REF!,#REF!,
天然氣的生產與分銷,工業部門,#REF!,#REF!,
天然氣的生產與分銷,農業部門,#REF!,#REF!,
天然氣的生產與分銷,服務業部門,#REF!,#REF!,
天然氣的生產與分銷,住宅部門,#REF!,#REF!,
生質能及廢棄物,生質能的生產與分銷,#REF!,#REF!,
生質能及廢棄物,電力系統,#REF!,#REF!,
生質能的生產與分銷,工業部門,#REF!,#REF!,
生質能的生產與分銷,運輸部門,#REF!,#REF!,
核能,電力系統,#REF!,#REF!,
水力,電力系統,#REF!,#REF!,
地熱,電力系統,#REF!,#REF!,
太陽光電,電力系統,#REF!,#REF!,
風力,電力系統,#REF!,#REF!,
電力系統,能源部門自用,#REF!,#REF!,
電力系統,電網損耗,#REF!,#REF!,
電力系統,工業部門,#REF!,#REF!,
電力系統,運輸部門,#REF!,#REF!,
電力系統,農業部門,#REF!,#REF!,
電力系統,服務業部門,#REF!,#REF!,
電力系統,住宅部門,#REF!,#REF!,
電力系統,轉換效率損失,#REF!,#REF!,
#REF!,#REF!,#REF!,#REF!,
工業部門,#REF!,#REF!,#REF!,
工業部門,#REF!,#REF!,#REF!,
工業部門,#REF!,#REF!,#REF!,
工業部門,#REF!,#REF!,#REF!,
工業部門,#REF!,#REF!,#REF!,
工業部門,#REF!,#REF!,#REF!,
工業部門,#REF!,#REF!,#REF!,
工業部門,#REF!,#REF!,#REF!,
工業部門,#REF!,#REF!,#REF!,
工業部門,#REF!,#REF!,#REF!,
工業部門,#REF!,#REF!,#REF!,
工業部門,#REF!,#REF!,#REF!,
工業部門,#REF!,#REF!,#REF!,
工業部門,#REF!,#REF!,#REF!,
工業部門,#REF!,#REF!,#REF!,
工業部門,#REF!,#REF!,#REF!,
工業部門,#REF!,#REF!,#REF!,
工業部門,#REF!,#REF!,#REF!,
工業部門,#REF!,#REF!,#REF!,
工業部門,#REF!,#REF!,#REF!,
工業部門,#REF!,#REF!,#REF!,
工業部門,#REF!,#REF!,#REF!,
工業部門,#REF!,#REF!,#REF!,
工業部門,#REF!,#REF!,#REF!,
工業部門,#REF!,#REF!,#REF!,
工業部門,#REF!,#REF!,#REF!,
工業部門,#REF!,#REF!,#REF!,
工業部門,#REF!,#REF!,#REF!,
工業部門,#REF!,#REF!,#REF!,
工業部門,#REF!,#REF!,#REF!,
工業部門,#REF!,#REF!,#REF!,
工業部門,#REF!,#REF!,#REF!,
工業部門,#REF!,#REF!,#REF!,
工業部門,#REF!,#REF!,#REF!,
工業部門,#REF!,#REF!,#REF!,
工業部門,#REF!,#REF!,#REF!,
運輸部門,#REF!,#REF!,#REF!,
運輸部門,#REF!,#REF!,#REF!,
運輸部門,#REF!,#REF!,#REF!,
運輸部門,#REF!,#REF!,#REF!,
運輸部門,#REF!,#REF!,#REF!,
運輸部門,#REF!,#REF!,#REF!,
農業部門,#REF!,#REF!,#REF!,
農業部門,#REF!,#REF!,#REF!,
服務業部門,#REF!,#REF!,#REF!,
服務業部門,#REF!,#REF!,#REF!,
服務業部門,#REF!,#REF!,#REF!,
服務業部門,#REF!,#REF!,#REF!,
服務業部門,#REF!,#REF!,#REF!,
服務業部門,#REF!,#REF!,#REF!,
服務業部門,#REF!,#REF!,#REF!,
服務業部門,#REF!,#REF!,#REF!,
服務業部門,#REF!,#REF!,#REF!,
服務業部門,#REF!,#REF!,#REF!,
住宅部門,#REF!,#REF!,#REF!,
住宅部門,#REF!,#REF!,#REF!,
住宅部門,運輸,#REF!,#REF!,
住宅部門,#REF!,#REF!,#REF!,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
