Source,Target,Value(KLOE),Value(kKLOE),
煤及煤產品,煤炭的製造與分銷,5499580,5500,
煤及煤產品,電力系統,15168217,15168,
煤炭的製造與分銷,能源部門自用,775874,776,
煤炭的製造與分銷,電網損耗,23591,24,
煤炭的製造與分銷,工業部門,4498157,4498,
煤炭的製造與分銷,非能源消費,201958,202,
原油及石油產品,原油及石油的製造與分銷,28330162,28330,
原油及石油產品,電力系統,6782575,6783,
原油及石油的製造與分銷,能源部門自用,2004012,2004,
原油及石油的製造與分銷,工業部門,6671947,6672,
原油及石油的製造與分銷,運輸部門,11037065,11037,
原油及石油的製造與分銷,農業部門,655679,656,
原油及石油的製造與分銷,服務業部門,878432,878,
原油及石油的製造與分銷,住宅部門,5618,6,
原油及石油的製造與分銷,非能源消費,7077410,7077,
天然氣,天然氣的生產與分銷,1547088,1547,
天然氣,電力系統,2933443,2933,
天然氣的生產與分銷,能源部門自用,549884,550,
天然氣的生產與分銷,工業部門,624678,625,
天然氣的生產與分銷,農業部門,0,0,
天然氣的生產與分銷,服務業部門,169031,169,
天然氣的生產與分銷,住宅部門,0,0,
生質能及廢棄物,生質能的生產與分銷,233371,233,
生質能及廢棄物,電力系統,469993,470,
生質能的生產與分銷,工業部門,233371,233,
生質能的生產與分銷,運輸部門,0,0,
核能,電力系統,9904630,9905,
水力,電力系統,769034,769,
地熱,電力系統,0,0,
太陽光電,電力系統,0,0,
風力,電力系統,0,0,
電力系統,能源部門自用,1342906,1343,
電力系統,電網損耗,722218,722,
電力系統,工業部門,6713163,6713,
電力系統,運輸部門,35383,35,
電力系統,農業部門,184345,184,
電力系統,服務業部門,2767557,2768,
電力系統,住宅部門,85143,85,
電力系統,轉換效率損失,24177176,24177,
工業部門,礦業及土石採取業(不含煤、油及氣),62851,63,
工業部門,食品飲料及菸草業,746549,747,
工業部門,紡織成衣及服飾業,2178532,2179,
工業部門,皮革及毛皮業,80269,80,
工業部門,木竹及家具業,57690,58,
工業部門,紙漿、紙及紙製品業,1232197,1232,
工業部門,印刷業,39289,39,
工業部門,化學材料製造業,4569261,4569,
工業部門,基本化學材料製造業,2884353,2884,
工業部門,(基本化學工業),1228641,1229,
工業部門,(石油化工原料製造業),1530256,1530,
工業部門,(肥料製造業),0,0,
工業部門,人造纖維製造業,1041594,1042,
工業部門,樹脂塑膠及橡膠製造業,618189,618,
工業部門,其他化學材料製造業,25124,25,
工業部門,化學製品製造業,395548,396,
工業部門,橡膠製品製造業,121144,121,
工業部門,塑膠製品製造業,607774,608,
工業部門,非金屬礦物製品製造業,2548248,2548,
工業部門,水泥及水泥製品業,1735482,1735,
工業部門,其他,812767,813,
工業部門,(陶瓷製品製造業),140928,141,
工業部門,(玻璃及玻璃製品製造業),117154,117,
工業部門,金屬基本工業,3298260,3298,
工業部門,鋼鐵基本工業,3114386,3114,
工業部門,非鐵金屬基本工業,183874,184,
工業部門,(鋁業),42128,42,
工業部門,金屬製品製造業,482859,483,
工業部門,機械設備製造業,124452,124,
工業部門,電腦通信及視聽電子產品製造業,1273007,1273,
工業部門,(電子零組件製造業),606647,607,
工業部門,運輸工具製造業,195070,195,
工業部門,精密光學醫療器材及鐘錶製造業,19660,20,
工業部門,其他工業製品製造工業,233375,233,
工業部門,用水供應及污染整治業,246496,246,
工業部門,營造業,228785,229,
工業部門,其他,0,0,
運輸部門,國內航空,351574,352,
運輸部門,公路,10260003,10260,
運輸部門,鐵路,78309,78,
運輸部門,管線運輸,0,0,
運輸部門,國內水運,382561,383,
運輸部門,其他,0,0,
農業部門,農牧及林業,101594,102,
農業部門,漁業,738431,738,
服務業部門,批發及零售業,377249,377,
服務業部門,住宿及餐飲業,569463,569,
服務業部門,運輸服務業,51256,51,
服務業部門,倉儲業,53898,54,
服務業部門,通信業,90690,91,
服務業部門,金融保險及不動產業,90761,91,
服務業部門,工商服務業,33299,33,
服務業部門,社會服務及個人服務業,461628,462,
服務業部門,公共行政業,797123,797,
服務業部門,其他,1292443,1292,
住宅部門,工業、轉變及能源部門,7482864,7483,
住宅部門,(石化原料用),4223346,4223,
住宅部門,運輸,0,0,
住宅部門,其他,0,0,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
