Source,Target,Value(KLOE),Value(kKLOE),
煤及煤產品,煤炭的製造與分銷,6808678,6809,
煤及煤產品,電力系統,23793200,23793,
煤炭的製造與分銷,能源部門自用,830055,830,
煤炭的製造與分銷,電網損耗,2333,2,
煤炭的製造與分銷,工業部門,5486481,5486,
煤炭的製造與分銷,運輸部門,0,0,
煤炭的製造與分銷,農業部門,0,0,
煤炭的製造與分銷,服務業部門,0,0,
煤炭的製造與分銷,住宅部門,0,0,
煤炭的製造與分銷,非能源消費,489810,490,
原油及石油產品,原油及石油的製造與分銷,37788229,37788,
原油及石油產品,電力系統,4244699,4245,
原油及石油的製造與分銷,能源部門自用,2201651,2202,
原油及石油產品,電網損耗,0,0,
原油及石油的製造與分銷,工業部門,5976553,5977,
原油及石油的製造與分銷,運輸部門,11629210,11629,
原油及石油的製造與分銷,農業部門,904999,905,
原油及石油的製造與分銷,服務業部門,1114290,1114,
原油及石油的製造與分銷,住宅部門,1285358,1285,
原油及石油的製造與分銷,非能源消費,14676168,14676,
天然氣,天然氣的生產與分銷,2100010,2100,
天然氣,電力系統,5056258,5056,
天然氣的生產與分銷,能源部門自用,437166,437,
天然氣的生產與分銷,電網損耗,0,0,
天然氣的生產與分銷,工業部門,738874,739,
天然氣的生產與分銷,運輸部門,0,0,
天然氣的生產與分銷,農業部門,0,0,
天然氣的生產與分銷,服務業部門,222964,223,
天然氣的生產與分銷,住宅部門,701006,701,
天然氣的生產與分銷,非能源消費,0,0,
生質能及廢棄物,生質能的生產與分銷,403449,403,
生質能及廢棄物,電力系統,1007166,1007,
生質能的生產與分銷,工業部門,403449,403,
生質能的生產與分銷,運輸部門,0,0,
核能,電力系統,10135144,10135,
水力,電力系統,592975,593,
地熱,電力系統,0,0,
太陽光電,電力系統,40,0,
風力,電力系統,2043,2,
電力系統,能源部門自用,1655281,1655,
電力系統,電網損耗,752594,753,
電力系統,工業部門,8537584,8538,
電力系統,運輸部門,39956,40,
電力系統,農業部門,208994,209,
電力系統,服務業部門,3435511,3436,
電力系統,住宅部門,3362631,3363,
電力系統,轉換效率損失,26838975,26839,
工業部門,礦業及土石採取業(不含煤、油及氣),62864,63,
工業部門,食品飲料及菸草業,677799,678,
工業部門,紡織成衣及服飾業,1699502,1700,
工業部門,皮革及毛皮業,46511,47,
工業部門,木竹及家具業,45192,45,
工業部門,紙漿、紙及紙製品業,1050032,1050,
工業部門,印刷業,48928,49,
工業部門,化學材料製造業,6414609,6415,
工業部門,基本化學材料製造業,4128097,4128,
工業部門,(基本化學工業),684859,685,
工業部門,(石油化工原料製造業),3308139,3308,
工業部門,(肥料製造業),0,0,
工業部門,人造纖維製造業,1173708,1174,
工業部門,樹脂塑膠及橡膠製造業,771491,771,
工業部門,其他化學材料製造業,341313,341,
工業部門,化學製品製造業,399810,400,
工業部門,橡膠製品製造業,109560,110,
工業部門,塑膠製品製造業,428908,429,
工業部門,非金屬礦物製品製造業,2677102,2677,
工業部門,水泥及水泥製品業,1785035,1785,
工業部門,其他,892068,892,
工業部門,(陶瓷製品製造業),110878,111,
工業部門,(玻璃及玻璃製品製造業),117134,117,
工業部門,金屬基本工業,3509234,3509,
工業部門,鋼鐵基本工業,3308575,3309,
工業部門,非鐵金屬基本工業,200660,201,
工業部門,(鋁業),77465,77,
工業部門,金屬製品製造業,586579,587,
工業部門,機械設備製造業,145615,146,
工業部門,電腦通信及視聽電子產品製造業,2025472,2025,
工業部門,(電子零組件製造業),1066303,1066,
工業部門,運輸工具製造業,223196,223,
工業部門,精密光學醫療器材及鐘錶製造業,33058,33,
工業部門,其他工業製品製造工業,947088,947,
工業部門,用水供應及污染整治業,406085,406,
工業部門,營造業,142443,142,
工業部門,其他,35709,36,
運輸部門,國內航空,210649,211,
運輸部門,公路,11077236,11077,
運輸部門,鐵路,74184,74,
運輸部門,管線運輸,0,0,
運輸部門,國內水運,307097,307,
運輸部門,其他,0,0,
農業部門,農牧及林業,118354,118,
農業部門,漁業,995639,996,
服務業部門,批發及零售業,482583,483,
服務業部門,住宿及餐飲業,820602,821,
服務業部門,運輸服務業,85096,85,
服務業部門,倉儲業,62713,63,
服務業部門,通信業,124867,125,
服務業部門,金融保險及不動產業,99952,100,
服務業部門,工商服務業,64059,64,
服務業部門,社會服務及個人服務業,636260,636,
服務業部門,公共行政業,908217,908,
服務業部門,其他,1490791,1491,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
