Source,Target,Value(KLOE),Value(kKLOE),
煤及煤產品,煤炭的製造與分銷,6792738,6793,
煤及煤產品,電力系統,27773365,27773,
煤炭的製造與分銷,能源部門自用,803462,803,
煤炭的製造與分銷,電網損耗,16028,16,
煤炭的製造與分銷,工業部門,5696472,5696,
煤炭的製造與分銷,運輸部門,0,0,
煤炭的製造與分銷,農業部門,0,0,
煤炭的製造與分銷,服務業部門,0,0,
煤炭的製造與分銷,住宅部門,0,0,
煤炭的製造與分銷,非能源消費,276776,277,
原油及石油產品,原油及石油的製造與分銷,39977974,39978,
原油及石油產品,電力系統,3523130,3523,
原油及石油的製造與分銷,能源部門自用,2369456,2369,
原油及石油產品,電網損耗,0,0,
原油及石油的製造與分銷,工業部門,4491610,4492,
原油及石油的製造與分銷,運輸部門,11203215,11203,
原油及石油的製造與分銷,農業部門,498469,498,
原油及石油的製造與分銷,服務業部門,1099611,1100,
原油及石油的製造與分銷,住宅部門,1235712,1236,
原油及石油的製造與分銷,非能源消費,19079901,19080,
天然氣,天然氣的生產與分銷,2350804,2351,
天然氣,電力系統,8565651,8566,
天然氣的生產與分銷,能源部門自用,421488,421,
天然氣的生產與分銷,電網損耗,0,0,
天然氣的生產與分銷,工業部門,831031,831,
天然氣的生產與分銷,運輸部門,0,0,
天然氣的生產與分銷,農業部門,0,0,
天然氣的生產與分銷,服務業部門,352370,352,
天然氣的生產與分銷,住宅部門,745915,746,
天然氣的生產與分銷,非能源消費,0,0,
生質能及廢棄物,能源部門自用,553,1,
生質能及廢棄物,生質能的生產與分銷,458297,458,
生質能及廢棄物,電力系統,1083065,1083,
生質能的生產與分銷,工業部門,457744,458,
生質能的生產與分銷,運輸部門,0,0,
核能,電力系統,10639480,10639,
水力,電力系統,668415,668,
地熱,電力系統,0,0,
太陽光電,電力系統,385,0,
風力,電力系統,50591,51,
電力系統,能源部門自用,1682420,1682,
電力系統,電網損耗,738238,738,
電力系統,工業部門,10157817,10158,
電力系統,運輸部門,98084,98,
電力系統,農業部門,223625,224,
電力系統,服務業部門,3919962,3920,
電力系統,住宅部門,3671081,3671,
電力系統,轉換效率損失,31812855,31813,
工業部門,礦業及土石採取業(不含煤、油及氣),72919,73,
工業部門,食品飲料及菸草業,650859,651,
工業部門,紡織成衣及服飾業,1394340,1394,
工業部門,皮革及毛皮業,52603,53,
工業部門,木竹及家具業,46177,46,
工業部門,紙漿、紙及紙製品業,1037887,1038,
工業部門,印刷業,53046,53,
工業部門,化學材料製造業,6925606,6926,
工業部門,基本化學材料製造業,5064214,5064,
工業部門,(基本化學工業),929806,930,
工業部門,(石油化工原料製造業),3968361,3968,
工業部門,(肥料製造業),5548,6,
工業部門,人造纖維製造業,1088706,1089,
工業部門,樹脂塑膠及橡膠製造業,482321,482,
工業部門,其他化學材料製造業,290364,290,
工業部門,化學製品製造業,445140,445,
工業部門,橡膠製品製造業,162135,162,
工業部門,塑膠製品製造業,474045,474,
工業部門,非金屬礦物製品製造業,2559882,2560,
工業部門,水泥及水泥製品業,1640544,1641,
工業部門,其他,919339,919,
工業部門,(陶瓷製品製造業),101880,102,
工業部門,(玻璃及玻璃製品製造業),223102,223,
工業部門,金屬基本工業,3707367,3707,
工業部門,鋼鐵基本工業,3506046,3506,
工業部門,非鐵金屬基本工業,201321,201,
工業部門,(鋁業),80687,81,
工業部門,金屬製品製造業,623608,624,
工業部門,機械設備製造業,170590,171,
工業部門,電腦通信及視聽電子產品製造業,3238253,3238,
工業部門,(電子零組件製造業),2005990,2006,
工業部門,運輸工具製造業,240718,241,
工業部門,精密光學醫療器材及鐘錶製造業,92151,92,
工業部門,其他工業製品製造工業,225528,226,
工業部門,用水供應及污染整治業,462923,463,
工業部門,營造業,118902,119,
工業部門,其他,40608,41,
運輸部門,國內航空,86545,87,
運輸部門,公路,10843455,10843,
運輸部門,鐵路,123798,124,
運輸部門,管線運輸,3437,3,
運輸部門,國內水運,244066,244,
運輸部門,其他,0,0,
農業部門,農牧及林業,202238,202,
農業部門,漁業,519856,520,
服務業部門,批發及零售業,517706,518,
服務業部門,住宿及餐飲業,1064907,1065,
服務業部門,運輸服務業,112141,112,
服務業部門,倉儲業,72318,72,
服務業部門,通信業,134617,135,
服務業部門,金融保險及不動產業,104250,104,
服務業部門,工商服務業,91756,92,
服務業部門,社會服務及個人服務業,749602,750,
服務業部門,公共行政業,873212,873,
服務業部門,其他,1654393,1654,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
