Source,Target,Value(KLOE),Value(kKLOE),
煤及煤產品,煤炭的製造與分銷,4712647,4713,
煤及煤產品,電力系統,9551372,9551,
煤炭的製造與分銷,能源部門自用,571042,571,
煤炭的製造與分銷,電網損耗,7068,7,
煤炭的製造與分銷,工業部門,3929393,3929,
煤炭的製造與分銷,運輸部門,0,0,
煤炭的製造與分銷,農業部門,0,0,
煤炭的製造與分銷,服務業部門,0,0,
煤炭的製造與分銷,住宅部門,0,0,
煤炭的製造與分銷,非能源消費,205144,205,
原油及石油產品,原油及石油的製造與分銷,26256737,26257,
原油及石油產品,電力系統,6899679,6900,
原油及石油的製造與分銷,能源部門自用,1674535,1675,
原油及石油產品,電網損耗,0,0,
原油及石油的製造與分銷,工業部門,6008005,6008,
原油及石油的製造與分銷,運輸部門,9693016,9693,
原油及石油的製造與分銷,農業部門,890910,891,
原油及石油的製造與分銷,服務業部門,683398,683,
原油及石油的製造與分銷,住宅部門,1246471,1246,
原油及石油的製造與分銷,非能源消費,6060403,6060,
天然氣,天然氣的生產與分銷,2230373,2230,
天然氣,電力系統,1248725,1249,
天然氣的生產與分銷,能源部門自用,722228,722,
天然氣的生產與分銷,電網損耗,0,0,
天然氣的生產與分銷,工業部門,509321,509,
天然氣的生產與分銷,運輸部門,0,0,
天然氣的生產與分銷,農業部門,0,0,
天然氣的生產與分銷,服務業部門,137777,138,
天然氣的生產與分銷,住宅部門,554747,555,
天然氣的生產與分銷,非能源消費,306300,306,
生質能及廢棄物,生質能的生產與分銷,23229,23,
生質能及廢棄物,電力系統,150395,150,
生質能的生產與分銷,工業部門,23229,23,
生質能的生產與分銷,運輸部門,0,0,
核能,電力系統,9203256,9203,
水力,電力系統,763626,764,
地熱,電力系統,0,0,
太陽光電,電力系統,0,0,
風力,電力系統,0,0,
電力系統,能源部門自用,1138993,1139,
電力系統,電網損耗,578100,578,
電力系統,工業部門,5173586,5174,
電力系統,運輸部門,19776,20,
電力系統,農業部門,175639,176,
電力系統,服務業部門,2152899,2153,
電力系統,住宅部門,2178308,2178,
電力系統,轉換效率損失,16399752,16400,
    工業部門,        礦業及土石採取業(不含煤、油及氣),44549,45,
工業部門,        食品飲料及菸草業,691847,692,
工業部門,        紡織成衣及服飾業,1767839,1768,
工業部門,        皮革及毛皮業,50795,51,
工業部門,        木竹及家具業,60056,60,
工業部門,        紙漿、紙及紙製品業      ,1016148,1016,
工業部門,        印刷業,35254,35,
工業部門,        化學材料製造業  ,3473900,3474,
工業部門,            基本化學材料製造業 ,1917815,1918,
工業部門,                (基本化學工業),1411917,1412,
工業部門,                (石油化工原料製造業),482722,483,
工業部門,                (肥料製造業),23176,23,
工業部門,            人造纖維製造業,853620,854,
工業部門,            樹脂塑膠及橡膠製造業,702464,702,
工業部門,            其他化學材料製造業,0,0,
工業部門,        化學製品製造業,325609,326,
工業部門,        橡膠製品製造業,143578,144,
工業部門,        塑膠製品製造業,470587,471,
工業部門,        非金屬礦物製品製造業,3106626,3107,
工業部門,            水泥及水泥製品業,2058552,2059,
工業部門,            其他,1048074,1048,
工業部門,                (陶瓷製品製造業),213050,213,
工業部門,                (玻璃及玻璃製品製造業) ,45468,45,
工業部門,        金屬基本工業,2490582,2491,
工業部門,            鋼鐵基本工業,2369844,2370,
工業部門,            非鐵金屬基本工業,120738,121,
工業部門,                (鋁業),12674,13,
工業部門,        金屬製品製造業,445052,445,
工業部門,        機械設備製造業,146394,146,
工業部門,        電腦通信及視聽電子產品製造業,592581,593,
工業部門,            (電子零組件製造業),0,0,
工業部門,        運輸工具製造業,176420,176,
工業部門,        精密光學醫療器材及鐘錶製造業,0,0,
工業部門,        其他工業製品製造工業,282226,282,
工業部門,        用水供應及污染整治業,110944,111,
工業部門,        營造業,212550,213,
工業部門,        其他,0,0,
運輸部門,        國內航空,285172,285,
運輸部門,        公路,9083620,9084,
運輸部門,        鐵路,64827,65,
運輸部門,        管線運輸,0,0,
運輸部門,        國內水運 ,279173,279,
運輸部門,        其他,0,0,
農業部門,        農牧及林業,36528,37,
農業部門,        漁業,1030021,1030,
服務業部門,        批發及零售業,251042,251,
服務業部門,        住宿及餐飲業,390580,391,
服務業部門,        運輸服務業,31902,32,
服務業部門,        倉儲業,33972,34,
服務業部門,        通信業,59641,60,
服務業部門,        金融保險及不動產業,57817,58,
服務業部門,        工商服務業,22879,23,
服務業部門,        社會服務及個人服務業,321364,321,
服務業部門,        公共行政業,682461,682,
服務業部門,        其他 ,1123890,1124,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
