Source,Target,Value(KLOE),Value(kKLOE),
煤及煤產品,煤炭的製造與分銷,4589894,4590,
煤及煤產品,電力系統,7623352,7623,
煤炭的製造與分銷,能源部門自用,510094,510,
煤炭的製造與分銷,電網損耗,14142,14,
煤炭的製造與分銷,工業部門,3834367,3834,
煤炭的製造與分銷,運輸部門,0,0,
煤炭的製造與分銷,農業部門,0,0,
煤炭的製造與分銷,服務業部門,1628,2,
煤炭的製造與分銷,住宅部門,0,0,
煤炭的製造與分銷,非能源消費,229663,230,
原油及石油產品,原油及石油的製造與分銷,22288080,22288,
原油及石油產品,電力系統,4839167,4839,
原油及石油的製造與分銷,能源部門自用,1226511,1227,
原油及石油產品,電網損耗,0,0,
原油及石油的製造與分銷,工業部門,5527218,5527,
原油及石油的製造與分銷,運輸部門,8068685,8069,
原油及石油的製造與分銷,農業部門,855624,856,
原油及石油的製造與分銷,服務業部門,879503,880,
原油及石油的製造與分銷,住宅部門,1241317,1241,
原油及石油的製造與分銷,非能源消費,4489222,4489,
天然氣,天然氣的生產與分銷,1875321,1875,
天然氣,電力系統,664367,664,
天然氣的生產與分銷,能源部門自用,672517,673,
天然氣的生產與分銷,電網損耗,0,0,
天然氣的生產與分銷,工業部門,322601,323,
天然氣的生產與分銷,運輸部門,0,0,
天然氣的生產與分銷,農業部門,0,0,
天然氣的生產與分銷,服務業部門,114662,115,
天然氣的生產與分銷,住宅部門,496591,497,
天然氣的生產與分銷,非能源消費,268950,269,
生質能及廢棄物,生質能的生產與分銷,5421,5,
生質能及廢棄物,電力系統,75750,76,
生質能的生產與分銷,工業部門,5421,5,
生質能的生產與分銷,運輸部門,0,0,
核能,電力系統,8819878,8820,
水力,電力系統,718203,718,
地熱,電力系統,1634,2,
太陽光電,電力系統,0,0,
風力,電力系統,0,0,
電力系統,能源部門自用,767753,768,
電力系統,電網損耗,500702,501,
電力系統,工業部門,4412462,4412,
電力系統,運輸部門,20645,21,
電力系統,農業部門,143576,144,
電力系統,服務業部門,1563527,1564,
電力系統,住宅部門,1658378,1658,
電力系統,轉換效率損失,13675307,13675,
工業部門,礦業及土石採取業(不含煤、油及氣),46748,47,
工業部門,食品飲料及菸草業,702356,702,
工業部門,紡織成衣及服飾業,1655898,1656,
工業部門,皮革及毛皮業,41382,41,
工業部門,木竹及家具業,63832,64,
工業部門,紙漿、紙及紙製品業,979487,979,
工業部門,印刷業,26711,27,
工業部門,化學材料製造業,2934460,2934,
工業部門,基本化學材料製造業,1544322,1544,
工業部門,(基本化學工業),1216287,1216,
工業部門,(石油化工原料製造業),305164,305,
工業部門,(肥料製造業),22871,23,
工業部門,人造纖維製造業,698929,699,
工業部門,樹脂塑膠及橡膠製造業,687979,688,
工業部門,其他化學材料製造業,3231,3,
工業部門,化學製品製造業,270314,270,
工業部門,橡膠製品製造業,161347,161,
工業部門,塑膠製品製造業,449835,450,
工業部門,非金屬礦物製品製造業,2963087,2963,
工業部門,水泥及水泥製品業,1960301,1960,
工業部門,其他,1002786,1003,
工業部門,(陶瓷製品製造業),157858,158,
工業部門,(玻璃及玻璃製品製造業),295562,296,
工業部門,金屬基本工業,2170958,2171,
工業部門,鋼鐵基本工業,2084791,2085,
工業部門,非鐵金屬基本工業,86166,86,
工業部門,(鋁業),9399,9,
工業部門,金屬製品製造業,349086,349,
工業部門,機械設備製造業,120191,120,
工業部門,電腦通信及視聽電子產品製造業,428969,429,
工業部門,(電子零組件製造業),0,0,
工業部門,運輸工具製造業,158157,158,
工業部門,精密光學醫療器材及鐘錶製造業,0,0,
工業部門,其他工業製品製造工業,334496,334,
工業部門,用水供應及污染整治業,78418,78,
工業部門,營造業,166338,166,
工業部門,其他,0,0,
運輸部門,國內航空,123106,123,
運輸部門,公路,7640632,7641,
運輸部門,鐵路,65205,65,
運輸部門,管線運輸,0,0,
運輸部門,國內水運,260387,260,
運輸部門,其他,0,0,
農業部門,農牧及林業,23316,23,
農業部門,漁業,975884,976,
服務業部門,批發及零售業,186935,187,
服務業部門,住宿及餐飲業,303789,304,
服務業部門,運輸服務業,30049,30,
服務業部門,倉儲業,28693,29,
服務業部門,通信業,52597,53,
服務業部門,金融保險及不動產業,46042,46,
服務業部門,工商服務業,17041,17,
服務業部門,社會服務及個人服務業,239004,239,
服務業部門,公共行政業,829592,830,
服務業部門,其他,826444,826,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
