Source,Target,Value(KLOE),Value(kKLOE),
煤及煤產品,煤炭的製造與分銷,7089292,7089,
煤及煤產品,電力系統,27528602,27529,
煤炭的製造與分銷,能源部門自用,841423,841,
煤炭的製造與分銷,電網損耗,54274,54,
煤炭的製造與分銷,工業部門,5971428,5971,
煤炭的製造與分銷,運輸部門,0,0,
煤炭的製造與分銷,農業部門,0,0,
煤炭的製造與分銷,服務業部門,0,0,
煤炭的製造與分銷,住宅部門,0,0,
煤炭的製造與分銷,非能源消費,222166,222,
原油及石油產品,原油及石油的製造與分銷,39625764,39626,
原油及石油產品,電力系統,4462084,4462,
原油及石油的製造與分銷,能源部門自用,3027111,3027,
原油及石油產品,電網損耗,0,0,
原油及石油的製造與分銷,工業部門,5562264,5562,
原油及石油的製造與分銷,運輸部門,12374362,12374,
原油及石油的製造與分銷,農業部門,529976,530,
原油及石油的製造與分銷,服務業部門,1141487,1141,
原油及石油的製造與分銷,住宅部門,1256402,1256,
原油及石油的製造與分銷,非能源消費,15734162,15734,
天然氣,天然氣的生產與分銷,2222277,2222,
天然氣,電力系統,6979643,6980,
天然氣的生產與分銷,能源部門自用,325940,326,
天然氣的生產與分銷,電網損耗,0,0,
天然氣的生產與分銷,工業部門,853971,854,
天然氣的生產與分銷,運輸部門,0,0,
天然氣的生產與分銷,農業部門,0,0,
天然氣的生產與分銷,服務業部門,312765,313,
天然氣的生產與分銷,住宅部門,729601,730,
天然氣的生產與分銷,非能源消費,0,0,
生質能及廢棄物,能源部門自用,282,0,
生質能及廢棄物,生質能的生產與分銷,442393,442,
生質能及廢棄物,電力系統,1022334,1022,
生質能的生產與分銷,工業部門,442111,442,
生質能的生產與分銷,運輸部門,0,0,
核能,電力系統,10390252,10390,
水力,電力系統,687916,688,
地熱,電力系統,0,0,
太陽光電,電力系統,125,0,
風力,電力系統,23742,24,
電力系統,能源部門自用,1741605,1742,
電力系統,電網損耗,820326,820,
電力系統,工業部門,9847093,9847,
電力系統,運輸部門,51005,51,
電力系統,農業部門,223764,224,
電力系統,服務業部門,3917755,3918,
電力系統,住宅部門,3651922,3652,
電力系統,轉換效率損失,30841229,30841,
工業部門,礦業及土石採取業(不含煤、油及氣),68786,69,
工業部門,食品飲料及菸草業,671699,672,
工業部門,紡織成衣及服飾業,1566244,1566,
工業部門,皮革及毛皮業,55696,56,
工業部門,木竹及家具業,47894,48,
工業部門,紙漿、紙及紙製品業,1148258,1148,
工業部門,印刷業,54166,54,
工業部門,化學材料製造業,7532056,7532,
工業部門,基本化學材料製造業,5264345,5264,
工業部門,(基本化學工業),1028440,1028,
工業部門,(石油化工原料製造業),4089118,4089,
工業部門,(肥料製造業),8834,9,
工業部門,人造纖維製造業,1312255,1312,
工業部門,樹脂塑膠及橡膠製造業,533634,534,
工業部門,其他化學材料製造業,421822,422,
工業部門,化學製品製造業,456238,456,
工業部門,橡膠製品製造業,129209,129,
工業部門,塑膠製品製造業,473654,474,
工業部門,非金屬礦物製品製造業,2843433,2843,
工業部門,水泥及水泥製品業,1922872,1923,
工業部門,其他,920562,921,
工業部門,(陶瓷製品製造業),116751,117,
工業部門,(玻璃及玻璃製品製造業),223970,224,
工業部門,金屬基本工業,3779887,3780,
工業部門,鋼鐵基本工業,3565672,3566,
工業部門,非鐵金屬基本工業,214214,214,
工業部門,(鋁業),96214,96,
工業部門,金屬製品製造業,632997,633,
工業部門,機械設備製造業,169768,170,
工業部門,電腦通信及視聽電子產品製造業,2853150,2853,
工業部門,(電子零組件製造業),1691111,1691,
工業部門,運輸工具製造業,239325,239,
工業部門,精密光學醫療器材及鐘錶製造業,76139,76,
工業部門,其他工業製品製造工業,253888,254,
工業部門,用水供應及污染整治業,439767,440,
工業部門,營造業,127240,127,
工業部門,其他,20345,20,
運輸部門,國內航空,172528,173,
運輸部門,公路,11837289,11837,
運輸部門,鐵路,77840,78,
運輸部門,管線運輸,3578,4,
運輸部門,國內水運,334131,334,
運輸部門,其他,0,0,
農業部門,農牧及林業,137006,137,
農業部門,漁業,616733,617,
服務業部門,批發及零售業,541532,542,
服務業部門,住宿及餐飲業,1037783,1038,
服務業部門,運輸服務業,108005,108,
服務業部門,倉儲業,71113,71,
服務業部門,通信業,133231,133,
服務業部門,金融保險及不動產業,105701,106,
服務業部門,工商服務業,83938,84,
服務業部門,社會服務及個人服務業,743916,744,
服務業部門,公共行政業,878375,878,
服務業部門,其他,1671178,1671,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
