Source,Target,Value(KLOE),Value(kKLOE),
煤及煤產品,煤炭的製造與分銷,8128876,8129,
煤及煤產品,電力系統,26567410,26567,
煤炭的製造與分銷,能源部門自用,1158043,1158,
煤炭的製造與分銷,電網損耗,145504,146,
煤炭的製造與分銷,工業部門,6545944,6546,
煤炭的製造與分銷,運輸部門,0,0,
煤炭的製造與分銷,農業部門,0,0,
煤炭的製造與分銷,服務業部門,0,0,
煤炭的製造與分銷,住宅部門,0,0,
煤炭的製造與分銷,非能源消費,279385,279,
原油及石油產品,原油及石油的製造與分銷,41386721,41387,
原油及石油產品,電力系統,2806181,2806,
原油及石油的製造與分銷,能源部門自用,2928613,2929,
原油及石油產品,電網損耗,0,0,
原油及石油的製造與分銷,工業部門,2051941,2052,
原油及石油的製造與分銷,運輸部門,11983680,11984,
原油及石油的製造與分銷,農業部門,414022,414,
原油及石油的製造與分銷,服務業部門,962426,962,
原油及石油的製造與分銷,住宅部門,1125327,1125,
原油及石油的製造與分銷,非能源消費,21920713,21921,
天然氣,天然氣的生產與分銷,3465904,3466,
天然氣,電力系統,13846409,13846,
天然氣的生產與分銷,能源部門自用,319457,319,
天然氣的生產與分銷,電網損耗,0,0,
天然氣的生產與分銷,工業部門,2092519,2093,
天然氣的生產與分銷,運輸部門,0,0,
天然氣的生產與分銷,農業部門,2982,3,
天然氣的生產與分銷,服務業部門,414100,414,
天然氣的生產與分銷,住宅部門,636846,637,
天然氣的生產與分銷,非能源消費,0,0,
生質能及廢棄物,能源部門自用,65,0,
生質能及廢棄物,生質能的生產與分銷,444972,445,
生質能及廢棄物,電力系統,1115303,1115,
生質能的生產與分銷,工業部門,444906,445,
生質能的生產與分銷,運輸部門,0,0,
核能,電力系統,9504374,9504,
水力,電力系統,645439,645,
地熱,電力系統,0,0,
太陽光電,電力系統,73123,73,
風力,電力系統,131170,131,
電力系統,能源部門自用,1633157,1633,
電力系統,電網損耗,700621,701,
電力系統,工業部門,11584238,11584,
電力系統,運輸部門,120953,121,
電力系統,農業部門,250869,251,
電力系統,服務業部門,4052711,4053,
電力系統,住宅部門,3859732,3860,
電力系統,轉換效率損失,32487130,32487,
工業部門,礦業及土石採取業(不含煤、油及氣),73764,74,
工業部門,食品飲料及菸草業,690877,691,
工業部門,紡織成衣及服飾業,1211517,1212,
工業部門,皮革及毛皮業,36694,37,
工業部門,木竹及家具業,40995,41,
工業部門,紙漿、紙及紙製品業,989285,989,
工業部門,印刷業,55504,56,
工業部門,化學材料製造業,6708877,6709,
工業部門,基本化學材料製造業,4805351,4805,
工業部門,(基本化學工業),540992,541,
工業部門,(石油化工原料製造業),4122818,4123,
工業部門,(肥料製造業),0,0,
工業部門,人造纖維製造業,1285581,1286,
工業部門,樹脂塑膠及橡膠製造業,456331,456,
工業部門,其他化學材料製造業,161614,162,
工業部門,化學製品製造業,408978,409,
工業部門,橡膠製品製造業,199306,199,
工業部門,塑膠製品製造業,620309,620,
工業部門,非金屬礦物製品製造業,2357300,2357,
工業部門,水泥及水泥製品業,1352264,1352,
工業部門,其他,1005037,1005,
工業部門,(陶瓷製品製造業),112565,113,
工業部門,(玻璃及玻璃製品製造業),271474,271,
工業部門,金屬基本工業,3927190,3927,
工業部門,鋼鐵基本工業,3713008,3713,
工業部門,非鐵金屬基本工業,214183,214,
工業部門,(鋁業),122378,122,
工業部門,金屬製品製造業,785746,786,
工業部門,機械設備製造業,202128,202,
工業部門,電腦通信及視聽電子產品製造業,4309877,4310,
工業部門,(電子零組件製造業),2753987,2754,
工業部門,運輸工具製造業,273265,273,
工業部門,精密光學醫療器材及鐘錶製造業,124510,125,
工業部門,其他工業製品製造工業,256340,256,
工業部門,用水供應及污染整治業,472800,473,
工業部門,營造業,107239,107,
工業部門,其他,88705,89,
運輸部門,國內航空,86295,86,
運輸部門,公路,11747879,11748,
運輸部門,鐵路,138246,138,
運輸部門,管線運輸,3799,4,
運輸部門,國內水運,128415,128,
運輸部門,其他,0,0,
農業部門,農牧及林業,235287,235,
農業部門,漁業,432586,433,
服務業部門,批發及零售業,450883,451,
服務業部門,住宿及餐飲業,1030405,1030,
服務業部門,運輸服務業,127271,127,
服務業部門,倉儲業,79448,79,
服務業部門,通信業,129503,130,
服務業部門,金融保險及不動產業,91446,91,
服務業部門,工商服務業,125759,126,
服務業部門,社會服務及個人服務業,751675,752,
服務業部門,公共行政業,863651,864,
服務業部門,其他,1782260,1782,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
