Source,Target,Value(KLOE),Value(kKLOE),
煤及煤產品,煤炭的製造與分銷,2072889,2073,
煤及煤產品,電力系統,991968,992,
煤炭的製造與分銷,能源部門自用,147808,148,
煤炭的製造與分銷,電網損耗,798,1,
煤炭的製造與分銷,工業部門,1824062,1824,
煤炭的製造與分銷,運輸部門,1451,1,
煤炭的製造與分銷,農業部門,250,0,
煤炭的製造與分銷,服務業部門,93066,93,
煤炭的製造與分銷,住宅部門,5453,5,
煤炭的製造與分銷,非能源消費,0,0,
原油及石油產品,原油及石油的製造與分銷,13423425,13423,
原油及石油產品,電力系統,4474673,4475,
原油及石油的製造與分銷,能源部門自用,1626044,1626,
原油及石油產品,電網損耗,0,0,
原油及石油的製造與分銷,工業部門,3685742,3686,
原油及石油的製造與分銷,運輸部門,3043616,3044,
原油及石油的製造與分銷,農業部門,725921,726,
原油及石油的製造與分銷,服務業部門,830287,830,
原油及石油的製造與分銷,住宅部門,795674,796,
原油及石油的製造與分銷,非能源消費,2716142,2716,
天然氣,天然氣的生產與分銷,1027960,1028,
天然氣,電力系統,0,0,
天然氣的生產與分銷,能源部門自用,68072,68,
天然氣的生產與分銷,電網損耗,0,0,
天然氣的生產與分銷,工業部門,257514,258,
天然氣的生產與分銷,運輸部門,0,0,
天然氣的生產與分銷,農業部門,0,0,
天然氣的生產與分銷,服務業部門,69755,70,
天然氣的生產與分銷,住宅部門,240858,241,
天然氣的生產與分銷,非能源消費,391761,392,
生質能及廢棄物,生質能的生產與分銷,0,0,
生質能及廢棄物,電力系統,0,0,
生質能的生產與分銷,工業部門,0,0,
生質能的生產與分銷,運輸部門,0,0,
核能,電力系統,3409744,3410,
水力,電力系統,411185,411,
地熱,電力系統,7123,7,
太陽光電,電力系統,0,0,
風力,電力系統,0,0,
電力系統,能源部門自用,247836,248,
電力系統,電網損耗,228320,228,
電力系統,工業部門,2049130,2049,
電力系統,運輸部門,20023,20,
電力系統,農業部門,62299,62,
電力系統,服務業部門,449408,449,
電力系統,住宅部門,678056,678,
電力系統,轉換效率損失,5559622,5560,
工業部門,礦業及土石採取業(不含煤、油及氣),95951,96,
工業部門,食品飲料及菸草業,479932,480,
工業部門,紡織成衣及服飾業,977167,977,
工業部門,皮革及毛皮業,25342,25,
工業部門,木竹及家具業,56002,56,
工業部門,紙漿、紙及紙製品業,575534,576,
工業部門,印刷業,6398,6,
工業部門,化學材料製造業,960221,960,
工業部門,基本化學材料製造業,542810,543,
工業部門,(基本化學工業),523650,524,
工業部門,(石油化工原料製造業),0,0,
工業部門,(肥料製造業),19160,19,
工業部門,人造纖維製造業,231929,232,
工業部門,樹脂塑膠及橡膠製造業,104379,104,
工業部門,其他化學材料製造業,81103,81,
工業部門,化學製品製造業,96473,96,
工業部門,橡膠製品製造業,124468,124,
工業部門,塑膠製品製造業,429385,429,
工業部門,非金屬礦物製品製造業,2193648,2194,
工業部門,水泥及水泥製品業,1334002,1334,
工業部門,其他,859646,860,
工業部門,(陶瓷製品製造業),129036,129,
工業部門,(玻璃及玻璃製品製造業),184198,184,
工業部門,金屬基本工業,1147642,1148,
工業部門,鋼鐵基本工業,1088887,1089,
工業部門,非鐵金屬基本工業,58755,59,
工業部門,(鋁業),21107,21,
工業部門,金屬製品製造業,166594,167,
工業部門,機械設備製造業,81243,81,
工業部門,電腦通信及視聽電子產品製造業,139147,139,
工業部門,(電子零組件製造業),0,0,
工業部門,運輸工具製造業,67398,67,
工業部門,精密光學醫療器材及鐘錶製造業,0,0,
工業部門,其他工業製品製造工業,45891,46,
工業部門,用水供應及污染整治業,40836,41,
工業部門,營造業,107173,107,
工業部門,其他,0,0,
運輸部門,國內航空,46024,46,
運輸部門,公路,2939157,2939,
運輸部門,鐵路,63081,63,
運輸部門,管線運輸,0,0,
運輸部門,國內水運,16827,17,
運輸部門,其他,0,0,
農業部門,農牧及林業,28828,29,
農業部門,漁業,759642,760,
服務業部門,批發及零售業,48280,48,
服務業部門,住宿及餐飲業,152892,153,
服務業部門,運輸服務業,68029,68,
服務業部門,倉儲業,11698,12,
服務業部門,通信業,26321,26,
服務業部門,金融保險及不動產業,22385,22,
服務業部門,工商服務業,4418,4,
服務業部門,社會服務及個人服務業,61691,62,
服務業部門,公共行政業,756301,756,
服務業部門,其他,290500,291,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
