Source,Target,Value(KLOE),Value(kKLOE),
煤及煤產品,煤炭的製造與分銷,6810219,6810,
煤及煤產品,電力系統,28602537,28603,
煤炭的製造與分銷,能源部門自用,1179653,1180,
煤炭的製造與分銷,電網損耗,103055,103,
煤炭的製造與分銷,工業部門,5307555,5308,
煤炭的製造與分銷,運輸部門,0,0,
煤炭的製造與分銷,農業部門,0,0,
煤炭的製造與分銷,服務業部門,0,0,
煤炭的製造與分銷,住宅部門,0,0,
煤炭的製造與分銷,非能源消費,219956,220,
原油及石油產品,原油及石油的製造與分銷,40284637,40285,
原油及石油產品,電力系統,1390945,1391,
原油及石油的製造與分銷,能源部門自用,2649177,2649,
原油及石油的製造與分銷,電網損耗,0,0,
原油及石油的製造與分銷,工業部門,1201602,1202,
原油及石油的製造與分銷,運輸部門,11400268,11400,
原油及石油的製造與分銷,農業部門,420989,421,
原油及石油的製造與分銷,服務業部門,953193,953,
原油及石油的製造與分銷,住宅部門,918059,918,
原油及石油的製造與分銷,非能源消費,22741349,22741,
天然氣,天然氣的生產與分銷,5078467,5078,
天然氣,電力系統,18287447,18287,
天然氣的生產與分銷,能源部門自用,516039,516,
天然氣的生產與分銷,電網損耗,0,0,
天然氣的生產與分銷,工業部門,3437242,3437,
天然氣的生產與分銷,運輸部門,0,0,
天然氣的生產與分銷,農業部門,3976,4,
天然氣的生產與分銷,服務業部門,378360,378,
天然氣的生產與分銷,住宅部門,742851,743,
天然氣的生產與分銷,非能源消費,0,0,
生質能及廢棄物,生質能的生產與分銷,399470,399,
生質能及廢棄物,電力系統,1118495,1118,
生質能的生產與分銷,工業部門,399461,399,
生質能的生產與分銷,運輸部門,9,0,
核能,電力系統,7241539,7242,
水力,電力系統,572647,573,
地熱,電力系統,7804,8,
太陽光電,電力系統,685436,685,
風力,電力系統,195287,195,
電力系統,能源部門自用,1618320,1618,
電力系統,電網損耗,758158,758,
電力系統,工業部門,13897952,13898,
電力系統,運輸部門,131941,132,
電力系統,農業部門,284492,284,
電力系統,服務業部門,3904057,3904,
電力系統,住宅部門,4516626,4517,
電力系統,轉換效率損失,32990591,32991,
工業部門,砂、石採取及其他礦業(不含煤、油、氣),29616,30,
工業部門,食品飲料及菸草製造業,778828,779,
工業部門,紡織成衣及服飾品製造業,984733,985,
工業部門,皮革、毛皮及其製品製造業,28778,29,
工業部門,木竹製品及家具製造業,42552,43,
工業部門,紙漿、紙及紙製品製造業,1041608,1042,
工業部門,印刷及資料儲存媒體複製業,55108,55,
工業部門,化學材料及肥料製造業,7523720,7524,
工業部門,化學原材料製造業,5915071,5915,
工業部門,(基本化學工業),1085704,1086,
工業部門,(石油化工原料製造業),4829367,4829,
工業部門,肥料及氮化合物製造業,20210,20,
工業部門,人造纖維製造業,773737,774,
工業部門,塑膠及合成橡膠原料製造業,647755,648,
工業部門,其他化學材料及肥料製造業,166947,167,
工業部門,化學製品及醫藥用品製造業,278417,278,
工業部門,橡膠製品製造業,171504,172,
工業部門,塑膠製品製造業,799182,799,
工業部門,非金屬礦物製品製造業,1963269,1963,
工業部門,水泥及其製品製造業,1181390,1181,
工業部門,其他,781878,782,
工業部門,(耐火、黏土建材及其他陶瓷製品製造業),178846,179,
工業部門,(玻璃及其製品製造業),473157,473,
工業部門,基本金屬製造業,4385847,4386,
工業部門,鋼鐵製造業,4026512,4027,
工業部門,非鐵金屬製造業,359335,359,
工業部門,(鋁製造業),192319,192,
工業部門,金屬製品製造業,890398,890,
工業部門,機械設備製造及維修業,273051,273,
工業部門,電子產品及電力設備製造業,5557559,5558,
工業部門,(電子零組件製造業),5049881,5050,
工業部門,運輸工具及其零件製造業,273013,273,
工業部門,精密光學醫學設備及鐘錶製造業,96655,97,
工業部門,其他製造業,307503,308,
工業部門,用水供應及污染整治業,496387,496,
住宅部門,營建工程業,114722,115,
工業部門,其他,3645,4,
運輸部門,國內航空,47966,48,
運輸部門,公路,11254124,11254,
運輸部門,鐵路,131260,131,
運輸部門,管線運輸,2530,3,
運輸部門,國內水運,96338,96,
運輸部門,其他,0,0,
農業部門,農牧及林業,267868,268,
農業部門,漁業,441589,442,
服務業部門,批發及零售業,1180331,1180,
服務業部門,運輸及倉儲業,324341,324,
服務業部門,運輸服務業,202977,203,
服務業部門,倉儲業,107518,108,
服務業部門,郵政及遞送服務業,13847,14,
服務業部門,住宿及餐飲業,1051640,1052,
服務業部門,出版影音及資通訊業,329087,329,
服務業部門,(電信業),216552,217,
服務業部門,金融及保險業,130363,130,
服務業部門,不動產業,64992,65,
服務業部門,專業、科學及技術服務業,97184,97,
服務業部門,支援服務業,69640,70,
服務業部門,公共行政及國防,750527,751,
服務業部門,教育業,280510,281,
服務業部門,醫療保健及社會工作服務業,330563,331,
服務業部門,藝術、娛樂及休閒服務業,114168,114,
服務業部門,其他,514617,515,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
