Source,Target,Value(KLOE),Value(kKLOE),
煤及煤產品,煤炭的製造與分銷,8471886,8472,
煤及煤產品,電力系統,27487880,27488,
煤炭的製造與分銷,能源部門自用,1113897,1114,
煤炭的製造與分銷,電網損耗,108042,108,
煤炭的製造與分銷,工業部門,6988288,6988,
煤炭的製造與分銷,運輸部門,0,0,
煤炭的製造與分銷,農業部門,0,0,
煤炭的製造與分銷,服務業部門,0,0,
煤炭的製造與分銷,住宅部門,0,0,
煤炭的製造與分銷,非能源消費,261660,262,
原油及石油產品,原油及石油的製造與分銷,40170674,40171,
原油及石油產品,電力系統,1627669,1628,
原油及石油的製造與分銷,能源部門自用,2251398,2251,
原油及石油產品,電網損耗,0,0,
原油及石油的製造與分銷,工業部門,2833838,2834,
原油及石油的製造與分銷,運輸部門,11595626,11596,
原油及石油的製造與分銷,農業部門,415923,416,
原油及石油的製造與分銷,服務業部門,952209,952,
原油及石油的製造與分銷,住宅部門,1114430,1114,
原油及石油的製造與分銷,非能源消費,21007250,21007,
天然氣,天然氣的生產與分銷,3314933,3315,
天然氣,電力系統,12017087,12017,
天然氣的生產與分銷,能源部門自用,521191,521,
天然氣的生產與分銷,電網損耗,0,0,
天然氣的生產與分銷,工業部門,1764030,1764,
天然氣的生產與分銷,運輸部門,0,0,
天然氣的生產與分銷,農業部門,976,1,
天然氣的生產與分銷,服務業部門,372974,373,
天然氣的生產與分銷,住宅部門,655761,656,
天然氣的生產與分銷,非能源消費,0,0,
生質能及廢棄物,能源部門自用,20,0,
生質能及廢棄物,生質能的生產與分銷,420358,420,
生質能及廢棄物,電力系統,1086305,1086,
生質能的生產與分銷,工業部門,420338,420,
生質能的生產與分銷,運輸部門,0,0,
核能,電力系統,10851217,10851,
水力,電力系統,740458,740,
地熱,電力系統,0,0,
太陽光電,電力系統,27614,28,
風力,電力系統,141041,141,
電力系統,能源部門自用,1582898,1583,
電力系統,電網損耗,623580,624,
電力系統,工業部門,11456480,11456,
電力系統,運輸部門,113777,114,
電力系統,農業部門,236605,237,
電力系統,服務業部門,3943594,3944,
電力系統,住宅部門,3747258,3747,
電力系統,轉換效率損失,32275078,32275,
工業部門,礦業及土石採取業(不含煤、油及氣),74420,74,
工業部門,食品飲料及菸草業,672903,673,
工業部門,紡織成衣及服飾業,1354968,1355,
工業部門,皮革及毛皮業,41772,42,
工業部門,木竹及家具業,43826,44,
工業部門,紙漿、紙及紙製品業,1097423,1097,
工業部門,印刷業,55702,56,
工業部門,化學材料製造業,6951382,6951,
工業部門,基本化學材料製造業,5208598,5209,
工業部門,(基本化學工業),828431,828,
工業部門,(石油化工原料製造業),4238629,4239,
工業部門,(肥料製造業),391,0,
工業部門,人造纖維製造業,1107003,1107,
工業部門,樹脂塑膠及橡膠製造業,440500,441,
工業部門,其他化學材料製造業,195281,195,
工業部門,化學製品製造業,408623,409,
工業部門,橡膠製品製造業,195350,195,
工業部門,塑膠製品製造業,556158,556,
工業部門,非金屬礦物製品製造業,2699802,2700,
工業部門,水泥及水泥製品業,1605845,1606,
工業部門,其他,1093957,1094,
工業部門,(陶瓷製品製造業),109394,109,
工業部門,(玻璃及玻璃製品製造業),276242,276,
工業部門,金屬基本工業,4297022,4297,
工業部門,鋼鐵基本工業,4092182,4092,
工業部門,非鐵金屬基本工業,204840,205,
工業部門,(鋁業),98913,99,
工業部門,金屬製品製造業,770943,771,
工業部門,機械設備製造業,195287,195,
工業部門,電腦通信及視聽電子產品製造業,4051678,4052,
工業部門,(電子零組件製造業),2582690,2583,
工業部門,運輸工具製造業,266756,267,
工業部門,精密光學醫療器材及鐘錶製造業,125986,126,
工業部門,其他工業製品製造工業,224548,225,
工業部門,用水供應及污染整治業,471841,472,
工業部門,營造業,113412,113,
工業部門,其他,81333,81,
運輸部門,國內航空,79161,79,
運輸部門,公路,11340773,11341,
運輸部門,鐵路,137054,137,
運輸部門,管線運輸,3010,3,
運輸部門,國內水運,149405,149,
運輸部門,其他,0,0,
農業部門,農牧及林業,248785,249,
農業部門,漁業,404718,405,
服務業部門,批發及零售業,457540,458,
服務業部門,住宿及餐飲業,1000190,1000,
服務業部門,運輸服務業,122675,123,
服務業部門,倉儲業,78139,78,
服務業部門,通信業,133535,134,
服務業部門,金融保險及不動產業,97241,97,
服務業部門,工商服務業,105648,106,
服務業部門,社會服務及個人服務業,747501,748,
服務業部門,公共行政業,834689,835,
服務業部門,其他,1694665,1695,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
