Source,Target,Value(KLOE),Value(kKLOE),
煤及煤產品,煤炭的製造與分銷,6806091,6806,
煤及煤產品,電力系統,21335615,21336,
煤炭的製造與分銷,能源部門自用,833596,834,
煤炭的製造與分銷,電網損耗,5397,5,
煤炭的製造與分銷,工業部門,5688769,5689,
煤炭的製造與分銷,運輸部門,0,0,
煤炭的製造與分銷,農業部門,0,0,
煤炭的製造與分銷,服務業部門,0,0,
煤炭的製造與分銷,住宅部門,0,0,
煤炭的製造與分銷,非能源消費,278329,278,
原油及石油產品,原油及石油的製造與分銷,36100607,36101,
原油及石油產品,電力系統,4431017,4431,
原油及石油的製造與分銷,能源部門自用,2016542,2017,
原油及石油產品,電網損耗,0,0,
原油及石油的製造與分銷,工業部門,6239504,6240,
原油及石油的製造與分銷,運輸部門,11623854,11624,
原油及石油的製造與分銷,農業部門,791313,791,
原油及石油的製造與分銷,服務業部門,992181,992,
原油及石油的製造與分銷,住宅部門,1368506,1369,
原油及石油的製造與分銷,非能源消費,13068707,13069,
天然氣,天然氣的生產與分銷,2142966,2143,
天然氣,電力系統,4878333,4878,
天然氣的生產與分銷,能源部門自用,439564,440,
天然氣的生產與分銷,電網損耗,0,0,
天然氣的生產與分銷,工業部門,878661,879,
天然氣的生產與分銷,運輸部門,0,0,
天然氣的生產與分銷,農業部門,0,0,
天然氣的生產與分銷,服務業部門,186372,186,
天然氣的生產與分銷,住宅部門,634933,635,
天然氣的生產與分銷,非能源消費,3436,3,
生質能及廢棄物,生質能的生產與分銷,367413,367,
生質能及廢棄物,電力系統,806462,806,
生質能的生產與分銷,工業部門,367413,367,
生質能的生產與分銷,運輸部門,0,0,
核能,電力系統,10307491,10307,
水力,電力系統,546934,547,
地熱,電力系統,0,0,
太陽光電,電力系統,30,0,
風力,電力系統,1366,1,
電力系統,能源部門自用,1558614,1559,
電力系統,電網損耗,757226,757,
電力系統,工業部門,8086649,8087,
電力系統,運輸部門,40814,41,
電力系統,農業部門,200050,200,
電力系統,服務業部門,3277619,3278,
電力系統,住宅部門,3198422,3198,
電力系統,轉換效率損失,25187854,25188,
工業部門,礦業及土石採取業(不含煤、油及氣),65848,66,
工業部門,食品飲料及菸草業,737745,738,
工業部門,紡織成衣及服飾業,1872675,1873,
工業部門,皮革及毛皮業,51830,52,
工業部門,木竹及家具業,43868,44,
工業部門,紙漿、紙及紙製品業,1053013,1053,
工業部門,印刷業,45240,45,
工業部門,化學材料製造業,6061420,6061,
工業部門,基本化學材料製造業,3878683,3879,
工業部門,(基本化學工業),855492,855,
工業部門,(石油化工原料製造業),2894142,2894,
工業部門,(肥料製造業),0,0,
工業部門,人造纖維製造業,1060803,1061,
工業部門,樹脂塑膠及橡膠製造業,770030,770,
工業部門,其他化學材料製造業,351904,352,
工業部門,化學製品製造業,480511,481,
工業部門,橡膠製品製造業,115314,115,
工業部門,塑膠製品製造業,449256,449,
工業部門,非金屬礦物製品製造業,2617166,2617,
工業部門,水泥及水泥製品業,1802331,1802,
工業部門,其他,814835,815,
工業部門,(陶瓷製品製造業),117941,118,
工業部門,(玻璃及玻璃製品製造業),112557,113,
工業部門,金屬基本工業,3482890,3483,
工業部門,鋼鐵基本工業,3280081,3280,
工業部門,非鐵金屬基本工業,202809,203,
工業部門,(鋁業),74616,75,
工業部門,金屬製品製造業,535965,536,
工業部門,機械設備製造業,280592,281,
工業部門,電腦通信及視聽電子產品製造業,2112336,2112,
工業部門,(電子零組件製造業),941891,942,
工業部門,運輸工具製造業,368244,368,
工業部門,精密光學醫療器材及鐘錶製造業,29245,29,
工業部門,其他工業製品製造工業,346560,347,
工業部門,用水供應及污染整治業,352596,353,
工業部門,營造業,179490,179,
工業部門,其他,4606,5,
運輸部門,國內航空,252380,252,
運輸部門,公路,10952468,10952,
運輸部門,鐵路,78570,79,
運輸部門,管線運輸,0,0,
運輸部門,國內水運,381250,381,
運輸部門,其他,0,0,
農業部門,農牧及林業,112456,112,
農業部門,漁業,878906,879,
服務業部門,批發及零售業,461235,461,
服務業部門,住宿及餐飲業,698977,699,
服務業部門,運輸服務業,80172,80,
服務業部門,倉儲業,60679,61,
服務業部門,通信業,123224,123,
服務業部門,金融保險及不動產業,96075,96,
服務業部門,工商服務業,56176,56,
服務業部門,社會服務及個人服務業,576905,577,
服務業部門,公共行政業,858133,858,
服務業部門,其他,1446871,1447,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
