Source,Target,Value(KLOE),Value(kKLOE),
煤及煤產品,煤炭的製造與分銷,5438351,5438,
煤及煤產品,電力系統,12860324,12860,
煤炭的製造與分銷,能源部門自用,831735,832,
煤炭的製造與分銷,電網損耗,14628,15,
煤炭的製造與分銷,工業部門,4410179,4410,
煤炭的製造與分銷,運輸部門,0,0,
煤炭的製造與分銷,農業部門,0,0,
煤炭的製造與分銷,服務業部門,0,0,
煤炭的製造與分銷,住宅部門,0,0,
煤炭的製造與分銷,非能源消費,181810,182,
原油及石油產品,原油及石油的製造與分銷,27443735,27444,
原油及石油產品,電力系統,6140346,6140,
原油及石油的製造與分銷,能源部門自用,1746196,1746,
原油及石油產品,電網損耗,0,0,
原油及石油的製造與分銷,工業部門,6304954,6305,
原油及石油的製造與分銷,運輸部門,10280476,10280,
原油及石油的製造與分銷,農業部門,793903,794,
原油及石油的製造與分銷,服務業部門,686928,687,
原油及石油的製造與分銷,住宅部門,1311810,1312,
原油及石油的製造與分銷,非能源消費,6319467,6319,
天然氣,天然氣的生產與分銷,2241303,2241,
天然氣,電力系統,1912316,1912,
天然氣的生產與分銷,能源部門自用,638951,639,
天然氣的生產與分銷,電網損耗,0,0,
天然氣的生產與分銷,工業部門,567420,567,
天然氣的生產與分銷,運輸部門,0,0,
天然氣的生產與分銷,農業部門,0,0,
天然氣的生產與分銷,服務業部門,144333,144,
天然氣的生產與分銷,住宅部門,589845,590,
天然氣的生產與分銷,非能源消費,300754,301,
生質能及廢棄物,生質能的生產與分銷,164520,165,
生質能及廢棄物,電力系統,254314,254,
生質能的生產與分銷,工業部門,164520,165,
生質能的生產與分銷,運輸部門,0,0,
核能,電力系統,9451824,9452,
水力,電力系統,822745,823,
地熱,電力系統,0,0,
太陽光電,電力系統,0,0,
風力,電力系統,0,0,
電力系統,能源部門自用,1261293,1261,
電力系統,電網損耗,653278,653,
電力系統,工業部門,5936420,5936,
電力系統,運輸部門,29170,29,
電力系統,農業部門,194712,195,
電力系統,服務業部門,2507108,2507,
電力系統,住宅部門,2394305,2394,
電力系統,轉換效率損失,18465584,18466,
    工業部門,        礦業及土石採取業(不含煤、油及氣),51258,51,
工業部門,        食品飲料及菸草業,695826,696,
工業部門,        紡織成衣及服飾業,1996872,1997,
工業部門,        皮革及毛皮業,67146,67,
工業部門,        木竹及家具業,60267,60,
工業部門,        紙漿、紙及紙製品業      ,1202146,1202,
工業部門,        印刷業,39187,39,
工業部門,        化學材料製造業  ,3921251,3921,
工業部門,            基本化學材料製造業 ,2388006,2388,
工業部門,                (基本化學工業),1359738,1360,
工業部門,                (石油化工原料製造業),1004709,1005,
工業部門,                (肥料製造業),23559,24,
工業部門,            人造纖維製造業,935181,935,
工業部門,            樹脂塑膠及橡膠製造業,598065,598,
工業部門,            其他化學材料製造業,0,0,
工業部門,        化學製品製造業,390765,391,
工業部門,        橡膠製品製造業,105567,106,
工業部門,        塑膠製品製造業,531955,532,
工業部門,        非金屬礦物製品製造業,2914494,2914,
工業部門,            水泥及水泥製品業,2026999,2027,
工業部門,            其他,887495,887,
工業部門,                (陶瓷製品製造業),152496,152,
工業部門,                (玻璃及玻璃製品製造業) ,53027,53,
工業部門,        金屬基本工業,3025742,3026,
工業部門,            鋼鐵基本工業,2863527,2864,
工業部門,            非鐵金屬基本工業,162215,162,
工業部門,                (鋁業),14361,14,
工業部門,        金屬製品製造業,518155,518,
工業部門,        機械設備製造業,168643,169,
工業部門,        電腦通信及視聽電子產品製造業,840325,840,
工業部門,            (電子零組件製造業),0,0,
工業部門,        運輸工具製造業,183028,183,
工業部門,        精密光學醫療器材及鐘錶製造業,0,0,
工業部門,        其他工業製品製造工業,323128,323,
工業部門,        用水供應及污染整治業,144724,145,
工業部門,        營造業,203016,203,
工業部門,        其他,0,0,
運輸部門,        國內航空,359275,359,
運輸部門,        公路,9551862,9552,
運輸部門,        鐵路,70749,71,
運輸部門,        管線運輸,0,0,
運輸部門,        國內水運 ,327760,328,
運輸部門,        其他,0,0,
農業部門,        農牧及林業,39875,40,
農業部門,        漁業,948740,949,
服務業部門,        批發及零售業,293961,294,
服務業部門,        住宿及餐飲業,425361,425,
服務業部門,        運輸服務業,34936,35,
服務業部門,        倉儲業,37784,38,
服務業部門,        通信業,66797,67,
服務業部門,        金融保險及不動產業,67800,68,
服務業部門,        工商服務業,26767,27,
服務業部門,        社會服務及個人服務業,376170,376,
服務業部門,        公共行政業,705345,705,
服務業部門,        其他 ,1305231,1305,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
